genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,cluster,closest_mood
Movie,Chorus,High (feat. Syross & Messieh),3R3vtgh4lKgRFtkrfrrUQs,0,0.414,0.642,154176,0.63,0.0,A#,0.145,-5.814,0,0.187,149.973,4/4,0.19,,
R&B,Olivia O'Brien,Love Myself,4XzgjxGKqULifVf7mnDIQK,68,0.596,0.653,213947,0.621,0.0,B,0.0811,-5.721,0,0.0409,100.006,4/4,0.466,,
R&B,Jessie Reyez,Body Count (feat. Normani & Kehlani) - Remix,4o7WXic8yAQWOV7iJXZ4jD,62,0.458,0.703,158947,0.586,0.0,B,0.154,-4.587,0,0.212,149.736,4/4,0.264,,
R&B,Joji,SLOW DANCING IN THE DARK - Loud Luxury Remix,59pC3ONM6ggVn0CYi0l1KD,65,0.00616,0.752,176414,0.883,0.0998,F,0.167,-4.45,0,0.0426,122.026,4/4,0.509,,
R&B,Tory Lanez,S.w.I.n.G (feat. PnB Rock & Trey Songz),7o8xfkcYJs1CPZXWiIFimg,67,0.244,0.621,278515,0.777,0.0,G#,0.449,-4.75,0,0.151,138.007,4/4,0.526,,
R&B,Jacquees,Inside feat. Trey Songz,1yIEiamPoVQGpFsYaImNFY,64,0.0163,0.71,248467,0.578,0.0,B,0.246,-5.84,0,0.0604,125.969,4/4,0.512,,
R&B,Iggy Azalea,Black Widow,7pNC5ZIKtwUK0ReSpM3P9f,65,0.181,0.741,209423,0.726,0.000189,D#,0.111,-3.77,0,0.143,163.991,4/4,0.527,,
R&B,GoldLink,Got Friends,1PVza5KmhSJhz12OewWciE,67,0.104,0.691,226963,0.75,0.0,A#,0.123,-3.934,0,0.347,143.744,4/4,0.345,,
R&B,Trey Songz,Neighbors Know My Name,6jvvpPJQJy5rMOEkLlADl6,63,0.0379,0.663,186307,0.693,0.0,G,0.162,-5.776,0,0.0635,120.026,4/4,0.391,,
R&B,Chris Brown,Grass Ain't Greener,6DaE3A1uIvDqVrVSNvUy6B,67,0.388,0.644,201422,0.601,0.0,A#,0.0884,-5.097,0,0.0496,133.946,4/4,0.518,,
Country,Tommy Chayne,King of the Pines (feat. Upchurch),0tCWyBFWM4M5qhaSeyuAGo,44,0.0181,0.734,197176,0.808,0.0,B,0.323,-5.375,0,0.232,149.995,4/4,0.433,,
Country,Demun Jones,World Went to Waste,3OdLbGJW9AO86SgkTWTgi3,43,0.354,0.802,247093,0.64,0.0,C,0.113,-6.168,0,0.0886,105.0,4/4,0.403,,
Country,Haley & Michaels,All Out,5zvRf0L8Fdb457kkcA8mtj,45,0.00776,0.556,175067,0.866,0.0201,B,0.439,-6.293,0,0.0405,99.969,4/4,0.529,,
Country,Blackfoot,Highway Song,0R5nPSbAqQoNjKBByWnN95,51,0.0562,0.342,450333,0.819,0.0338,E,0.145,-6.885,0,0.0524,127.102,4/4,0.537,,
Country,The Band Perry,NOSTALGIA,0s049atcSpO84nFYGLqtMQ,42,0.0221,0.618,182015,0.778,0.0204,C,0.343,-5.069,0,0.134,173.938,4/4,0.36,,
Country,Filmore,Unreal,6kxByhxYKLsATxyGyEsW64,42,0.526,0.724,178906,0.57,0.0,B,0.423,-6.686,0,0.0907,103.969,4/4,0.53,,
Country,Carrie Underwood,Clock Don't Stop,4FO9CoAqymmfJTENHw4qje,45,0.0808,0.613,201400,0.78,0.0,G#,0.128,-2.236,0,0.0513,125.023,4/4,0.212,,
