genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,cluster,closest_mood
R&B,August Alsina,Kissin' On My Tattoos,4MOXruB3ARc4PePI6IkGO7,63,0.00648,0.577,251893,0.625,0.0,D,0.364,-8.346,0,0.0423,120.133,4/4,0.184,,
R&B,Ella Mai,Own It,3DRG5CJplWKyNDc8z2It8T,61,0.112,0.527,251497,0.543,1.71e-06,E,0.355,-4.996,0,0.0589,106.706,4/4,0.397,,
Movie,Leopold Stokowski,L'ascension : III. Alleluias On The Trumpet And On The Cymbal,6UsUE1H5dtMrlntvKPAshH,0,0.933,0.375,295827,0.434,0.962,A,0.385,-13.991,0,0.0467,129.847,4/4,0.322,,
Country,Tommy Chayne,King of the Pines (feat. Upchurch),0tCWyBFWM4M5qhaSeyuAGo,44,0.0181,0.734,197176,0.808,0.0,B,0.323,-5.375,0,0.232,149.995,4/4,0.433,,
Country,Upchurch,Tennessee Dreamin,2vDfGmj1miRaaTD25N31bR,43,0.479,0.68,157024,0.695,0.0,F#,0.431,-8.138,0,0.0415,140.067,4/4,0.347,,
Country,Upchurch,King of Dixie,17h2obBWaYI5UaRMtwnazd,43,0.0164,0.594,186389,0.846,0.0,F#,0.415,-11.053,0,0.149,161.957,4/4,0.331,,
Country,The Band Perry,NOSTALGIA,0s049atcSpO84nFYGLqtMQ,42,0.0221,0.618,182015,0.778,0.0204,C,0.343,-5.069,0,0.134,173.938,4/4,0.36,,
Alternative,Evanescence,Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,75,0.00895,0.316,235893,0.945,1.85e-06,E,0.396,-3.169,0,0.124,189.931,4/4,0.32,,
Alternative,Chevelle,The Red,1gyee1JuFFiP476LQpRMYU,66,0.000671,0.509,238400,0.843,0.000803,C#,0.348,-3.318,0,0.0488,140.055,3/4,0.332,,
Alternative,Slipknot,Duality,61mWefnWQOLf90gepjOCb3,73,0.000237,0.354,252613,0.982,0.000294,E,0.204,-3.026,0,0.168,143.772,4/4,0.194,,
Alternative,Skillet,Feel Invincible,0i8JFpqe9cKwnrcvoNgl1L,68,0.00045,0.603,229933,0.886,0.0,F,0.26,-3.777,0,0.0837,126.025,4/4,0.395,,
Alternative,Pearl Jam,Even Flow,6QewNVIDKdSl8Y3ycuHIei,72,0.00178,0.394,292581,0.944,4.54e-06,A#,0.298,-6.506,0,0.0761,105.338,4/4,0.265,,
Alternative,Slipknot,Before I Forget,6wqJeItl3Vc3az4ZicSQAB,71,0.0177,0.291,278600,0.974,5.44e-06,F#,0.886,-2.997,0,0.171,134.724,4/4,0.348,,
Alternative,Shinedown,Sound of Madness,0W9Xvd4Qx1aZPxEi94vgRY,64,4.93e-05,0.328,233987,0.939,0.0065,D,0.337,-1.654,0,0.0423,185.971,4/4,0.329,,
Alternative,Skillet,Comatose,5pRElcsPZrgZXkoON2o5Go,62,0.00116,0.359,230427,0.955,0.0,E,0.349,-2.323,0,0.12,170.033,4/4,0.446,,
Alternative,Weathers,Happy Pills,3zjjzKg16tczCMwckGKGuH,61,0.00327,0.521,203080,0.885,0.00904,E,0.324,-4.934,0,0.125,115.985,4/4,0.344,,
Alternative,Avenged Sevenfold,Afterlife,7zAt4tdL44D3VuzsvM0N8n,65,0.000429,0.487,352427,0.949,2.91e-05,D,0.231,-4.217,0,0.0798,110.02,4/4,0.406,,
Alternative,Frank Ocean,Pyramids,4QhWbupniDd44EDtnh2bFJ,61,0.0134,0.405,592920,0.647,7.62e-05,F,0.819,-6.109,0,0.0482,131.952,4/4,0.196,,
Alternative,The Score,Stronger,0VeoSHlgashtg5JYPJjl15,64,0.0232,0.267,190987,0.67,0.0,D,0.312,-4.688,0,0.0807,191.883,3/4,0.114,,
Alternative,Rise Against,Prayer Of The Refugee,4OSbctVD37ycS0H3rwRm72,63,0.00228,0.253,199387,0.969,1.88e-05,D#,0.434,-3.46,0,0.133,150.93,4/4,0.437,,
Alternative,Killswitch Engage,My Curse,6zKF4293k44ItKWJJgrhXv,65,7.61e-05,0.197,244773,0.956,0.00992,A#,0.261,-2.908,0,0.0663,177.018,3/4,0.209,,
Alternative,Oliver Tree,Cheapskate,41LmqBEQojWdLobJyf2xjG,57,0.56,0.428,177172,0.511,0.0,F,0.22,-6.988,0,0.153,143.684,5/4,0.33,,
Alternative,grandson,Overdose,7a1D98IVXyVBKsq40imjyg,57,0.00251,0.529,231213,0.686,0.0965,E,0.22,-5.869,0,0.0579,144.033,4/4,0.116,,
Alternative,Nothing More,Jenny,1qhcO9Akt1mP0Y54OSTX9w,55,0.00107,0.525,236600,0.914,1.51e-05,B,0.545,-7.967,0,0.164,105.955,4/4,0.199,,
Country,Cypress Spring,Country Girl Twerk - Mud In The Club 2 Remix,222pZ5qHaSfNBSdP6x56IT,42,0.00699,0.797,290182,0.739,0.0,B,0.416,-6.027,0,0.241,128.031,4/4,0.416,,
Alternative,Foo Fighters,Run,1wLQwg0mloy3yXjL0jPE0N,61,3.4e-05,0.359,323373,0.893,0.0955,E,0.751,-8.036,0,0.0665,136.115,4/4,0.185,,
Alternative,Slipknot,Dead Memories,0HAr4QR1xI8nwC7VfzYidu,62,0.000443,0.547,268587,0.963,0.0251,E,0.353,-2.337,0,0.0744,130.061,4/4,0.441,,
Alternative,The Neighbourhood,Nervous,113xf7t4qNM7038YJvauik,62,0.0213,0.589,245000,0.614,0.165,C,0.31,-7.528,0,0.0426,119.837,4/4,0.318,,
Alternative,Killswitch Engage,Holy Diver,3a9urnht8HvfFzPwd0ipx6,61,7.6e-05,0.369,250253,0.995,0.00589,C,0.241,-2.584,0,0.12,185.985,4/4,0.27,,
Alternative,Papa Roach,Falling Apart,1Ka4sX789wNftDGgjCO2h7,60,8.26e-05,0.528,188920,0.942,0.0,D#,0.344,-2.825,0,0.0512,110.058,4/4,0.421,,
Alternative,grandson,Stick Up,5ZSKZ0wMdlMi4bQ3XZXXsp,57,0.000261,0.31,222560,0.932,3.71e-06,B,0.349,-4.764,0,0.262,135.944,4/4,0.304,,
Alternative,Foo Fighters,Times Like These,67vYdAAM3oGsEImCRfbtsF,61,1.4e-05,0.377,265560,0.908,1.4e-05,E,0.241,-3.793,0,0.0899,144.563,4/4,0.265,,
Alternative,In This Moment,Black Wedding (feat. Rob Halford),3zUwwYcmob803s2Bkck8GY,60,0.00796,0.54,247373,0.967,0.0,C#,0.683,-4.174,0,0.162,136.896,4/4,0.293,,
Alternative,Mudvayne,Dig,7vrLphPq4yjaX7jiDdd2Nc,60,9.62e-05,0.623,162293,0.983,0.0617,B,0.261,-3.548,0,0.151,134.975,4/4,0.271,,
Alternative,Ari Lennox,Chicago Boy,0Gx7phIMvHVT7pXk03h0rH,56,0.496,0.675,288659,0.397,5.66e-06,F#,0.333,-7.675,0,0.0413,119.395,4/4,0.322,,
Alternative,BANKS,The Fall,6IwwtYC8cdZj8zhTf0NU6g,57,0.4,0.423,176333,0.653,0.0,E,0.269,-4.238,0,0.0567,112.128,1/4,0.354,,
Alternative,Queens of the Stone Age,Go With The Flow,45DElIx0dXqUH4A88yQFdE,54,0.0115,0.248,187120,0.991,0.0462,E,0.834,-3.835,0,0.103,159.37,4/4,0.398,,
Alternative,Blood Orange,Tuesday Feeling (Choose To Stay),22EW5ouRV8EVvmSsEQaLXD,56,0.748,0.573,177163,0.48,5.7e-06,G#,0.439,-9.562,0,0.0742,173.43,4/4,0.442,,
Alternative,Cemetery Sun,Fake Love,4ekEPnMf0RvF7z8rL9Xgzl,55,0.0239,0.513,218213,0.854,3.01e-06,G,0.211,-4.074,0,0.0547,158.016,4/4,0.396,,
Alternative,Bishop Briggs,White Flag,2ph6BRhGcUzc2W9wIulG5k,58,0.062,0.524,230587,0.805,0.0,E,0.209,-4.08,0,0.065,152.044,4/4,0.354,,
Alternative,Remo Drive,Yer Killin' Me,79lzbYqczF4oLoOkxx9mHK,53,0.00217,0.396,234535,0.718,0.00077,C,0.332,-6.794,0,0.0814,165.272,4/4,0.366,,
Alternative,Daughtry,It's Not Over,234RqTZmnDTnxWlVciXHLD,53,0.0503,0.428,214831,0.919,0.0,A#,0.245,-3.245,0,0.0618,145.927,4/4,0.294,,
Alternative,Creed,What If,22bX2FwXSvG49G0bPWm5nc,54,0.000127,0.433,318093,0.895,1.7e-05,D,0.358,-5.548,0,0.0588,149.896,4/4,0.246,,
Alternative,Volbeat,Cheapside Sloggers (feat. Gary Holt),1MrZOAWrE9VYYlosHFekQg,55,8.95e-05,0.422,232107,0.932,0.0454,F#,0.209,-4.174,0,0.0535,142.072,4/4,0.359,,
Alternative,Chevelle,Jars,0CD1Hybzpwc9Av6iRI2xjr,51,0.000602,0.533,199800,0.961,0.000177,B,0.275,-3.32,0,0.0549,106.991,4/4,0.328,,
Alternative,THEY.,U-RITE - Rynx Remix,3dl5CWbfg1MnCovkvdL4HJ,55,0.0787,0.593,213649,0.856,1.55e-06,F#,0.229,-5.144,0,0.115,132.728,4/4,0.211,,
Alternative,A Perfect Circle,The Doomed,44OUZyiPnJc4pOZw4J6pid,56,0.0477,0.367,281781,0.903,0.00124,E,0.235,-5.956,0,0.175,106.329,3/4,0.239,,
Alternative,System Of A Down,Question!,6y2DHyCYf6azhUfXmnuH6w,60,0.00083,0.207,200600,0.972,0.0158,E,0.318,-3.21,0,0.186,180.798,4/4,0.364,,
Alternative,Slipknot,Surfacing,0iget4icTqUya9wtpvCTF2,58,0.000456,0.443,218093,0.993,0.0437,B,0.307,-4.517,0,0.101,106.875,4/4,0.276,,
Alternative,Phantogram,Into Happiness,5lIwTyrz9zw2f9yr1ckgex,56,0.00297,0.18,201093,0.798,9.44e-05,F,0.22,-4.149,0,0.0429,141.048,5/4,0.134,,
Alternative,3 Doors Down,Loser,1aC1IBAETh2XYGOE8kCC6t,54,0.0108,0.499,264800,0.88,2.76e-05,F#,0.226,-6.424,0,0.0654,147.899,4/4,0.39,,
Alternative,Halestorm,Love Bites (So Do I),5l3gAGbkXFfPWxh4a3J8mp,52,0.00127,0.542,191333,0.963,0.00134,D,0.253,-1.994,0,0.141,124.992,4/4,0.374,,
Alternative,Five Finger Death Punch,Cold,55LUubN7TG6DhcXAvIO8sm,50,0.0127,0.478,227699,0.828,0.0,D#,0.277,-4.526,0,0.0462,144.049,4/4,0.437,,
Alternative,My Darkest Days,Save Yourself,6FhB5ZyT4JsIJ0ozDlXCIp,55,0.00093,0.503,221160,0.921,2.75e-06,G#,0.26,-5.907,0,0.106,121.983,4/4,0.359,,
Alternative,Mahalia,Grateful,7mvma3mO5hSyhVbJDXxtFz,61,0.73,0.655,185992,0.351,0.000176,G,0.291,-7.628,0,0.153,141.689,4/4,0.316,,
Country,Nate Kenyon,Dirt Road Dollars,4bagSDiXAkOjoHf1YwX7Xr,41,0.0131,0.594,278499,0.686,0.0,A#,0.206,-4.436,0,0.0606,174.345,4/4,0.444,,
Country,Mbest11x,Put Your Weights Away!,7ehEwuAA8c3oE4DmjCrjQI,43,0.0176,0.577,166154,0.975,0.0,A#,0.294,-3.774,0,0.218,130.219,4/4,0.229,,
Country,Logan Mize,Big City,5jjxfDjxb29eI1UbZTnLCv,39,0.00607,0.435,222833,0.83,0.0,C,0.225,-3.89,0,0.0412,199.865,4/4,0.404,,
Country,Hunter Hayes,Dear God - Recorded at Woodshed Recording Malibu,78GAT649ad19quwcuiuMQs,40,0.108,0.601,182470,0.551,0.0,G#,0.221,-10.756,0,0.0799,119.824,4/4,0.319,,
Country,My Morning Jacket,One Big Holiday,4hcNGsiVC4bJRrucc6BAU1,48,0.0925,0.412,321373,0.917,0.0143,A,0.24,-7.036,0,0.0525,136.85,4/4,0.313,,
Country,Old Dominion,New York at Night - Remix,59wIRZMCUccEB0Piht3s2b,38,0.239,0.343,184784,0.875,0.0,A,0.895,-2.963,0,0.155,119.9,4/4,0.247,,
Alternative,Alina Baraz,Maybe,1sP3WrXSr0g2A0VIKfn6Uu,51,0.196,0.611,216000,0.557,0.0,D,0.429,-7.813,0,0.17,120.071,4/4,0.201,,
Alternative,Nothing But Thieves,Particles,1W2TYUenzUdOOuATtQIWS2,55,0.00208,0.515,235880,0.558,0.0,B,0.219,-5.155,0,0.0405,153.809,4/4,0.198,,
Alternative,Lamb of God,Omerta,4Vb5Y6RQztThqqqFre24wL,55,0.00242,0.413,285962,0.982,0.00112,F#,0.323,-4.079,0,0.201,118.504,4/4,0.155,,
Alternative,Slipknot,Vermilion,0fX9KPa0i9RGDI59gI90i9,58,0.00421,0.219,316667,0.989,0.0156,B,0.375,-2.962,0,0.16,168.069,3/4,0.149,,
Alternative,Lamb of God,Walk with Me In Hell,6vjvewW34Y3UiGQtJokGlY,56,3.39e-05,0.286,311507,0.982,0.00675,C,0.309,-3.828,0,0.131,110.629,4/4,0.118,,
Alternative,Five Finger Death Punch,Stuck in My Ways,3kWm10Y02xYIJo6j8NVrQz,49,0.00148,0.435,236755,0.988,0.0,A,0.247,-3.161,0,0.114,164.057,4/4,0.0952,,
Alternative,Bullet For My Valentine,You Want a Battle? (Here's a War),1KCAEG6JcsTzi8ddZzs0nk,60,3.21e-05,0.295,254613,0.98,0.0,D,0.359,-4.075,0,0.0854,134.335,4/4,0.283,,
Alternative,Parkway Drive,Vice Grip,0AHHDAHFRaT82UVw5fMr1R,56,3.17e-05,0.48,263587,0.988,0.00432,B,0.389,-3.229,0,0.0838,124.041,4/4,0.252,,
Alternative,Bloc Party,Helicopter,7vjzFWG4neQ9YYMN9yZ9hr,54,0.000139,0.47,220573,0.952,0.00283,B,0.386,-3.641,0,0.134,170.058,4/4,0.398,,
Alternative,Trivium,Strife,15zUfY9L1p7bN9JsgaTAP0,57,3.58e-05,0.461,269266,0.987,8.48e-05,C#,0.359,-1.711,0,0.108,142.031,4/4,0.309,,
