genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,cluster,closest_mood
Movie,Laura Mayne,Let Me Let Go,0PbIF9YVD505GutwotpB5C,15,0.939,0.416,240067,0.269,0.0,F#,0.113,-8.949,1,0.0286,96.827,4/4,0.274,,
Movie,Leopold Stokowski,Symphony No.4 In E Minor Op.98 : IV. Allegro Energico E Passionato,0XKgegoxLcIihK3Klpfo3N,0,0.921,0.191,566960,0.145,0.529,E,0.141,-17.239,0,0.0393,85.225,4/4,0.0849,,
Movie,Randy Newman,The Hanging (Maverick - Original Motion Picture Score) - Remastered,0hprxsuRM5vVCOfaM7l3gQ,2,0.0383,0.23,121333,0.133,0.887,C,0.0872,-19.051,1,0.0302,91.739,4/4,0.118,,
Movie,Richard M. Sherman,Afterglow,1j6b29LbEnEqbn8aswj4p1,0,0.932,0.348,127507,0.2,0.919,D#,0.109,-14.06,1,0.0436,99.028,3/4,0.188,,
Movie,Henri Salvador,La Vie grise,1py5dPKJVdQmXdZKjdvmwB,0,0.934,0.336,160053,0.107,4.9e-05,G#,0.453,-15.267,1,0.0355,77.719,4/4,0.222,,
Movie,Chorus,Stous athanatous nekrous (To Immortal Deads),2Do96Wm75pSsMBm8lmIhQg,0,0.989,0.262,220173,0.151,0.0,A,0.137,-14.86,1,0.036,75.964,4/4,0.369,,
Movie,Henri Salvador,Malgré tes serments,2TXdgzpGp97Wrb23ue9rVk,0,0.983,0.341,136253,0.156,0.0418,A#,0.232,-14.696,1,0.0312,84.488,1/4,0.336,,
Movie,Henri Salvador,Monsieur Le Bon Dieu,2n4an2QX7Np3yhM8T0HWdz,0,0.776,0.363,180133,0.153,9e-06,C,0.355,-10.686,1,0.0346,73.134,4/4,0.352,,
Movie,Richard M. Sherman,Forgotten Dreams,3PyfS1XmjHk1JZ004a2bFZ,0,0.987,0.429,89947,0.0478,0.959,E,0.102,-14.17,0,0.0468,82.388,4/4,0.111,,
Movie,Henri Salvador,Cherche la rose,3j2I9sLlBQu8pMPDvw6Mhn,3,0.619,0.242,208733,0.312,1.4e-06,C#,0.109,-10.82,1,0.0288,80.977,4/4,0.146,,
Movie,Henri Salvador,Le Marchand de sable,4eLl4AbxEzIZj6rSopkw3O,0,0.993,0.405,176907,0.0775,0.00304,F,0.139,-18.145,1,0.0414,81.814,3/4,0.355,,
Movie,Leopold Stokowski,"Symphony No. 6 in B minor, Op. 74 'Pathétique': I Adagio - Allegro non troppo",4etaqrzd6gYTaPna0Z2HFl,0,0.88,0.142,1029560,0.13,0.655,G,0.239,-20.735,1,0.0424,75.531,4/4,0.0759,,
Movie,Henri Salvador,Cheveux dans le vent,4lhjdO8eFSJ9DO10tgWRYm,0,0.99,0.206,170107,0.196,0.0452,C,0.117,-13.97,0,0.0371,82.293,3/4,0.0986,,
Movie,Leopold Stokowski,Symphony No.1 In C Major : I. Allegro Vivo,4ybCQncLeRtMrPIr8wk6YF,3,0.903,0.394,457747,0.279,0.881,G#,0.0549,-13.649,1,0.0405,77.565,4/4,0.259,,
Movie,Chorus,Odhi is ieron lohon (Ode to Sacred Battalion),5CM2C34HVAx6N7EhIMV7x5,0,0.976,0.302,174840,0.146,8.94e-06,D,0.118,-17.752,0,0.0391,77.077,4/4,0.159,,
Movie,Henri Salvador,Ciel de Paris,5c1jpatPFMyd7HqFI2eM25,2,0.974,0.271,216840,0.182,0.0873,B,0.298,-15.927,0,0.0393,76.749,5/4,0.263,,
Movie,Randy Newman,Henry Goes To Work,6QbtNfEpo5ae0pf6NHY9EX,0,0.737,0.382,115133,0.287,0.834,C,0.0644,-15.865,0,0.0456,79.908,4/4,0.157,,
Movie,Dominique Tirmont,Mon beau sapin,6znGYqNBqqaipERrslFQl8,0,0.976,0.412,144253,0.145,0.0,F,0.106,-9.367,1,0.0401,78.925,1/4,0.347,,
Movie,Leopold Stokowski,Tristan und Isolde (Love Music from Acts II & III),73ulytYi8ArzDYj4bjEHwN,0,0.942,0.0883,1563347,0.174,0.944,B,0.0949,-17.02,1,0.0408,85.719,4/4,0.0299,,
Movie,Chorus,Om Kodilingeshwaraya Namaha,0SyevrAr3Ab41f0QDpiXxf,0,0.538,0.294,41927,0.186,0.0,F#,0.347,-12.794,1,0.0318,87.505,4/4,0.145,,
Movie,Claire Guyot,Lila danse,0a17uPwCu57fB0Wyc7Y58d,1,0.932,0.418,213577,0.291,3.95e-06,B,0.116,-9.599,0,0.0368,88.38,4/4,0.264,,
Movie,Debbie Davis,Hanging Up My Stockings,1JDxnWeBA4bISv3i6gTK2O,0,0.906,0.365,273280,0.202,4.93e-05,G,0.37,-9.446,1,0.0284,79.333,4/4,0.232,,
Movie,Dorothée,Dans les prisons de Nantes,2YJ97qFezUkfrXPAqa55XK,1,0.982,0.419,154307,0.0205,1.8e-05,B,0.0857,-24.453,0,0.039,86.347,4/4,0.289,,
Movie,Frank Churchill,"Pleasant Dreams - From ""Snow White and the Seven Dwarfs""/Score",3m1mtP98pp5kETUNeGtBkd,0,0.761,0.251,150027,0.16,0.984,D#,0.0939,-18.699,1,0.0374,89.668,3/4,0.204,,
Movie,Randy Newman,Marty And Henry,5FTYFbO0oPat7YzOJsPzoI,1,0.987,0.33,74773,0.0317,0.949,C,0.129,-22.275,1,0.0333,64.242,4/4,0.0382,,
Movie,Henri Salvador,Si Jolie,6COUbdvjmtmroPzPqMUcgx,4,0.927,0.249,189947,0.27,0.0897,C,0.297,-12.216,1,0.0316,88.5,3/4,0.194,,
Movie,Randy Newman,Could You Milk Me? - Meet The Parents/Soundtrack,6VWyteGeKsSFMRHgC4zXJd,2,0.936,0.195,159000,0.034,0.4,G,0.0667,-21.518,0,0.0355,79.897,4/4,0.053,,
Movie,Leopold Stokowski,Lohengrin': Prelude to Act I,6gYlYmmG0ONQnaYCxz0eNc,0,0.773,0.134,498587,0.157,0.936,A,0.565,-17.552,1,0.0335,99.364,3/4,0.0368,,
Movie,Chorus,Gajanan Maharaj Arti,6yIzxXqgJ4fkTI0HJlPAPQ,0,0.546,0.252,45140,0.316,1.05e-05,C#,0.126,-9.27,1,0.0325,83.048,3/4,0.204,,
A Capella,The Singers Unlimited,London By Night,1qswpslHs4K52tE43c0EPT,16,0.97,0.257,209695,0.0905,4.79e-05,F,0.293,-17.74,1,0.0326,91.425,4/4,0.136,,
A Capella,Glad,Holy Holy Holy,4ogTa2tLPM7RZc1WsR2M9j,12,0.524,0.297,253653,0.155,0.0,D,0.11,-11.094,1,0.0282,91.833,4/4,0.145,,
A Capella,The Singers Unlimited,My Romance,2nSkmdpL7TMInWEgCIWDzI,13,0.973,0.213,156144,0.0401,0.000461,D,0.0964,-22.201,1,0.034,76.003,5/4,0.0742,,
A Capella,The Singers Unlimited,Emily,2t2owImD0FSTqL8vxsw86H,13,0.98,0.172,239784,0.0695,5.77e-05,G,0.1,-19.459,0,0.0324,85.813,3/4,0.0611,,
A Capella,Glad,O Sacred Head Now Wounded,4T0MhF3l1r8GGjVu9D68LG,10,0.793,0.315,167760,0.187,0.0,B,0.225,-9.709,0,0.0284,80.885,4/4,0.19,,
A Capella,The Singers Unlimited,Killing Me Softly with His Song,5QP9P48x0NmnLhCTRg3CYU,14,0.962,0.255,260067,0.14,0.00105,C,0.17,-14.632,1,0.0285,89.74,4/4,0.154,,
A Capella,Glad,When I Survey the Wondrous Cross,3HljLnSp0qLyUWo4Up4c4q,8,0.928,0.301,252400,0.124,0.0,C,0.118,-15.03,1,0.029,81.598,3/4,0.109,,
A Capella,The Singers Unlimited,Try to Remember,2pjmnDM1ms6mybynydunez,11,0.974,0.213,238536,0.0493,0.000118,C,0.195,-19.858,0,0.033,90.729,4/4,0.0529,,
A Capella,The Singers Unlimited,Since You Asked,5Zn57fZqYlBAP6uovrEqOz,12,0.985,0.261,177844,0.0658,3.24e-06,A,0.105,-19.158,0,0.0348,77.112,5/4,0.0662,,
A Capella,Glad,"All Glory, Laud and Honor",0ENyD2LlUqIqzILaWaXN8Y,7,0.914,0.171,234707,0.185,0.0,A,0.162,-13.997,1,0.0306,76.832,4/4,0.189,,
A Capella,The Singers Unlimited,I Don't Know Were I Stand,5iofmfsC5oJHf3f567Oiei,9,0.967,0.176,209233,0.0545,0.00365,C#,0.109,-20.169,1,0.0345,78.801,4/4,0.061,,
A Capella,The Swingle Singers,Walking in the Air,16Tq5k2t9XaxWAvICDscHM,11,0.975,0.353,202227,0.0728,0.000742,D,0.106,-18.865,0,0.0337,99.788,4/4,0.0858,,
A Capella,The Singers Unlimited,Indian Summer,3iajmwxfwsScVIHVIoyNcd,9,0.983,0.299,176523,0.129,0.000135,C,0.0995,-18.478,1,0.0301,37.861,4/4,0.0958,,
A Capella,The Singers Unlimited,The Way We Were,6X128PGN8ZbVubV3nxqhnv,10,0.974,0.209,188653,0.137,0.256,A,0.14,-16.809,0,0.0377,85.845,3/4,0.15,,
A Capella,The Singers Unlimited,Lullaby,2f91f6KPKoO6Pq2oA7qf8W,9,0.98,0.218,94428,0.073,0.000179,C#,0.117,-19.452,1,0.0328,81.993,5/4,0.239,,
A Capella,The Singers Unlimited,More I Can Not Wish You,4ZGh4eQlCDUuJJOx7t0EZm,8,0.982,0.272,215104,0.0498,4.88e-05,G#,0.205,-19.338,1,0.032,83.384,4/4,0.178,,
A Capella,Glad,God so Loved the World,6apsUe4P2HprFe7QNjOJTC,5,0.834,0.209,249560,0.157,0.0,F,0.0774,-13.345,1,0.0385,74.847,4/4,0.232,,
A Capella,The King's Singers,What Child Is This?,6GXmsVu84UPRYohKOGJVku,10,0.977,0.276,197507,0.0896,0.00172,D#,0.0917,-25.28,0,0.0413,90.377,4/4,0.156,,
A Capella,The Singers Unlimited,I Don't Know Where I Stand,6NqmBUATHS25mastXwA94Y,5,0.976,0.18,207760,0.0674,0.00361,A#,0.104,-18.92,0,0.0332,78.818,4/4,0.0665,,
A Capella,The Singers Unlimited,Girl Talk,3OpR6uTPj1BLcCnbXCt2OD,8,0.978,0.41,158904,0.158,0.13,C,0.111,-15.025,1,0.0307,81.189,4/4,0.148,,
A Capella,Glad,Alleluia,6jQW2mv8jDLVMDhA2nyxCh,4,0.9,0.15,245520,0.165,0.000133,D,0.114,-14.629,1,0.0398,74.767,4/4,0.213,,
A Capella,The Singers Unlimited,Since You've Asked,0rCHbbEjDLqg8KjWA80lkY,6,0.992,0.28,178653,0.0912,0.000587,G,0.108,-16.953,1,0.0341,79.1,3/4,0.0797,,
A Capella,The Singers Unlimited,"One More Time, Chuck Corea",4RzHz9UAwzNwI0XYRiRDXy,4,0.905,0.319,202213,0.192,0.336,C,0.106,-14.226,1,0.0324,98.857,4/4,0.157,,
A Capella,The Singers Unlimited,Someone to Light Up My Life,632qnTWDS01aFib76c2eQA,4,0.948,0.263,203827,0.126,2.26e-06,G,0.197,-15.022,0,0.0345,88.848,4/4,0.0727,,
A Capella,The King's Singers,I've Got You Under My Skin,3BgK9eg2tEal7aXwaaPL6e,1,0.958,0.38,221867,0.067,0.0,F,0.111,-21.115,0,0.0321,95.665,4/4,0.179,,
A Capella,The King's Singers,At Last,3fWcXgN5q8UQNupJau0LMP,1,0.954,0.397,150533,0.0855,0.00158,D,0.101,-19.271,1,0.0315,96.108,3/4,0.146,,
A Capella,The King's Singers,My Funny Valentine,4RHFJC9cne1vQRq97zW3oH,1,0.968,0.226,204293,0.0499,2.49e-05,G#,0.128,-21.84,1,0.0364,80.231,3/4,0.0888,,
Country,Johnny Cash,Bridge Over Troubled Water,3e0qSxu1fNPzDlwqWN3cBD,50,0.912,0.389,234600,0.317,0.0173,F,0.091,-9.042,1,0.0255,83.421,4/4,0.266,,
Alternative,Disturbed,The Sound of Silence,1Cj2vqUwlJVG27gJrun92y,71,0.468,0.322,248467,0.28,1.1e-06,F#,0.102,-9.367,0,0.0281,85.794,4/4,0.175,,
Alternative,Stone Sour,Bother,0AfIsqZ4gTUg9CwwW2jLeK,63,0.388,0.272,240400,0.281,2.29e-05,C#,0.158,-7.634,1,0.0287,89.914,4/4,0.141,,
Alternative,Sonder,Too Fast,42QRyJd5x6e2TFR1S41g2p,61,0.316,0.395,308006,0.33,1.89e-05,E,0.268,-10.924,0,0.0408,98.813,3/4,0.102,,
Alternative,James Blake,Retrograde,2IqjKEBiz0CdLKdkXhxw84,63,0.871,0.289,223600,0.254,0.0745,G,0.135,-11.218,0,0.0474,77.499,4/4,0.185,,
Country,George Jones,If Drinkin' Don't Kill Me (Her Memory Will) - Single Version,3EFzg5DOLu7jUXEiILFWIe,42,0.609,0.382,190160,0.32,0.0,F#,0.165,-12.941,1,0.0395,89.891,3/4,0.226,,
Country,Alabama,Lady Down On Love,1KzxCdjKTNAm7xaN4l3aT9,40,0.849,0.348,237227,0.0834,6.12e-06,F,0.123,-16.06,1,0.0299,82.98,4/4,0.138,,
Country,Brantley Gilbert,Three Feet Of Water,1S2MYkI8NTHjydgJGl7eL6,40,0.919,0.344,233613,0.263,0.0,B,0.109,-10.521,1,0.0315,79.786,4/4,0.352,,
Alternative,Sturgill Simpson,Breakers Roar,7rR5X9RKz5VprclstYOLb5,50,0.669,0.369,212587,0.31,0.514,B,0.245,-13.384,0,0.0309,84.41,4/4,0.165,,
Alternative,KALEO,I Can't Go On Without You,1dX6oGAG5PaexuPj29PsYd,59,0.655,0.368,377000,0.267,2.24e-05,G#,0.0834,-9.395,0,0.0428,91.88,4/4,0.194,,
Alternative,ODIE,Little Lies,6QpZXzHcOgXK41Y3YCx203,54,0.593,0.34,220008,0.294,0.68,D,0.0944,-15.989,1,0.0426,83.938,4/4,0.136,,
Country,Johnny Cash,Danny Boy,5o4SqGekEfvdkNuOVx5d3S,48,0.982,0.392,198507,0.0566,4.22e-05,D,0.124,-10.985,1,0.0397,98.11,3/4,0.253,,
Country,Tammy Wynette,Satin Sheets,1xx51TVDxKGv9XAAFc7gzd,44,0.88,0.434,172613,0.232,1.93e-05,C,0.14,-12.985,1,0.0321,98.624,3/4,0.432,,
Country,Alan Jackson,Softly And Tenderly,23MDSk9a0LhYbL5Xm06kBk,39,0.913,0.435,197693,0.2,7.76e-06,F,0.201,-11.838,1,0.0257,82.888,3/4,0.172,,
Country,George Strait,Today My World Slipped Away,0KrVVLD9ng1U9yv21SDPRi,37,0.376,0.425,184750,0.293,0.0028,C,0.0922,-11.011,1,0.0286,67.999,4/4,0.176,,
Country,Todd Snider,Like a Force of Nature,7pMB2UG4n5tVOcZKbbLXBg,40,0.728,0.405,234960,0.305,0.0,B,0.109,-8.229,1,0.0367,79.924,4/4,0.345,,
Country,Alan Jackson,Turn Your Eyes Upon Jesus,0LkK4ePBHSZ86gIwMYgYbO,39,0.932,0.431,227533,0.182,4.48e-06,C,0.0943,-11.926,1,0.031,97.436,3/4,0.256,,
Alternative,Radiohead,Pyramid Song,3A9vIxzGBjEfqmDK7H9exS,57,0.786,0.127,288733,0.335,0.427,B,0.111,-8.298,0,0.0329,77.078,4/4,0.0686,,
Alternative,Phil Wickham,Divine / Sailing / Time / Hymn - Acoustic,4pxrU6M8qULH1S9v0kv0YT,48,0.471,0.25,464400,0.324,0.0,B,0.108,-9.545,1,0.0356,79.104,4/4,0.253,,
Alternative,Pearl Jam,Release,3xAka0D8585mDoShALnsd7,54,0.446,0.241,546019,0.34,0.0641,G,0.0994,-11.919,1,0.0446,80.979,4/4,0.064,,
Alternative,KALEO,Vor í Vaglaskógi,2OdpZeTpnbqPqBrclk2pib,55,0.744,0.336,277267,0.345,6.01e-06,F,0.182,-6.456,0,0.029,92.502,4/4,0.0756,,
Alternative,Chris Cornell,"Thank You - Recorded Live At Esplanade Arts & Heritage Centre, Medicine Hat, Alberta, Canada on April 27, 2011",36QwvXHlo8kqob3AmH1Z3I,50,0.766,0.402,288187,0.317,0.0,G,0.715,-5.826,1,0.0268,77.654,4/4,0.103,,
Alternative,Florence + The Machine,Grace,51oY1LQDglBFja1LJnqZqT,54,0.761,0.335,288773,0.251,7.99e-05,C#,0.231,-9.337,1,0.0366,74.545,4/4,0.156,,
Alternative,for KING & COUNTRY,Hold Her,2RxEX1W0GSQRcQEmwut9OA,49,0.71,0.401,252000,0.295,0.882,C,0.0689,-14.297,1,0.0298,79.997,4/4,0.06,,
Alternative,Snoh Aalegra,Time,2mYE3xqnyusAvcaFCv05BX,50,0.963,0.42,224066,0.224,0.0,C#,0.109,-6.994,1,0.0384,97.749,4/4,0.114,,
Country,Patsy Cline,Sweet Dreams (Of You) - Single Version,2JKPDzbXrFT3rCFcUtVzoT,43,0.971,0.313,156067,0.123,0.000104,G#,0.359,-16.49,1,0.0366,82.839,4/4,0.345,,
Country,Lee Brice,Boy (Acoustic),1ybzoJh5izERZwHwY5lEKV,37,0.655,0.357,194707,0.216,0.0,F#,0.129,-11.348,1,0.0357,80.109,4/4,0.233,,
Country,Ashley Monroe,Orphan - Acoustic,0ssWq58Uz7RQPpAzqXTD8f,37,0.93,0.378,296387,0.188,3.43e-05,C,0.104,-7.376,1,0.0293,99.801,3/4,0.18,,
Country,Darius Rucker,So I Sang,4f68g0jZ8ouKyzddtU0bSc,38,0.846,0.309,209013,0.336,0.0,D,0.11,-10.384,1,0.0333,77.384,4/4,0.149,,
Country,Willie Nelson,Crazy,3CLMZgufBYLF9OYWeWoCwE,41,0.926,0.4,172000,0.0625,0.000446,C,0.095,-19.592,1,0.0389,66.663,4/4,0.238,,
Country,Joey + Rory,I Surrender All,3zpDN50e0zHiS1EzY4eDh5,37,0.72,0.447,187173,0.345,0.000144,G,0.152,-10.799,1,0.0276,85.993,4/4,0.178,,
Country,America,All My Life,0fqP1OK8UuiVK4WdsYCeY3,55,0.229,0.443,183827,0.337,2.71e-05,A,0.359,-13.017,1,0.0259,86.54,4/4,0.267,,
Country,MacKenzie Porter,If You Ask Me To,0qn3XyWPdRdKXQ7Wy5xr94,37,0.516,0.322,186227,0.273,0.0,B,0.111,-7.924,1,0.026,82.427,4/4,0.156,,
Country,George Jones,Amazing Grace,5xNI0lNPYmHfKGM0Qyaya2,37,0.739,0.255,204000,0.224,1.82e-06,B,0.118,-10.468,1,0.0444,65.393,3/4,0.245,,
Country,Eric Paslay,Let Go,26xagZpyOIOpPdvdGT8zq1,36,0.866,0.385,239840,0.186,0.0,E,0.321,-9.397,1,0.0316,91.899,4/4,0.248,,
Country,Jamey Johnson,Dreaming My Dreams With You,2FLP9NvxdZ4fusz1vvgLmg,35,0.771,0.432,252533,0.0865,0.000742,F,0.64,-18.936,1,0.0359,70.786,4/4,0.282,,
Country,Kacey Musgraves,What Are You Doing New Year's Eve?,4krsMq8eb4WideabHW0fg8,37,0.94,0.272,270933,0.219,0.000208,A,0.112,-11.37,1,0.0362,77.946,4/4,0.213,,
Country,Cody Johnson,In the Garden (Bonus Acoustic Track),6UYJYh6nl53FKokXrUwIrx,34,0.922,0.331,274400,0.106,0.0,D,0.0884,-12.565,1,0.0363,75.034,3/4,0.403,,
Country,The Mavericks,Harvest Moon - Live,0u1yZJ1LMPFiA44H0moThg,39,0.645,0.392,378696,0.246,7.4e-05,D,0.465,-11.793,1,0.0306,91.814,4/4,0.286,,
Country,Gary Allan,I'll Take Today,1VOV9J81XcKIBT6x9366Gs,34,0.678,0.343,177133,0.337,8.05e-06,F#,0.141,-10.393,1,0.0358,68.996,4/4,0.175,,
Country,A.A. Bondy,Mightiest of Guns,0JIx11Ysmmmy0VnV0KwP19,44,0.891,0.367,227280,0.157,0.0255,C,0.195,-16.807,1,0.0324,85.103,4/4,0.124,,
Alternative,Fugazi,I'm So Tired,5IafdoRLyaGPeeA6f8ysIe,49,0.89,0.303,118933,0.129,0.00776,F#,0.123,-15.069,1,0.0301,84.167,4/4,0.155,,
Alternative,Jacob Collier,I Heard You Singing (feat. Becca Stevens & Chris Thile),6AEYJSl89zOrlcta65d5y5,35,0.941,0.398,291267,0.211,0.00171,F,0.196,-17.831,1,0.0317,96.959,5/4,0.329,,
Alternative,Chris Tomlin,I Will Rise,7j1e730A8K1my1mM4knYmr,45,0.349,0.213,300373,0.32,0.0,B,0.0844,-7.086,1,0.0301,80.424,4/4,0.25,,
Alternative,Chris Cornell,"Like A Stone - Recorded Live At Queen Elizabeth Theatre, Toronto, ON on April 20, 2011",46K18fG5hkY67XAGZGKTSc,48,0.698,0.357,244253,0.312,0.0,A,0.726,-4.19,0,0.0355,85.058,5/4,0.375,,
Alternative,Chris Cornell,"I Am The Highway - Live At Queen Elizabeth Theatre, Toronto, ON/2011",0sT86uFdDw1mfkOGYT01bQ,46,0.628,0.283,296707,0.296,0.0,A,0.887,-4.312,0,0.0288,95.284,4/4,0.1,,
Alternative,Coheed and Cambria,Prologue,79Zpm2P9B7J8bJKhgFMxxe,41,0.507,0.338,127373,0.291,0.0277,D,0.282,-17.501,1,0.0443,64.095,4/4,0.1,,
Alternative,Mad Season,Wake Up,5xhQOnyRJfRywbEwpkgoTy,47,0.141,0.339,456027,0.276,0.00906,G,0.1,-10.746,1,0.0285,83.181,4/4,0.308,,
Alternative,Lucinda Williams,Fruits Of My Labor,31nItlXwgCCFpttS50Rbxf,51,0.673,0.341,288133,0.249,0.000445,G#,0.107,-12.009,1,0.0445,84.036,3/4,0.173,,
Alternative,Anthem Lights,I Want It That Way,3Ww6kEWxLh4Ub4WPJ9hMtA,49,0.745,0.379,196970,0.25,0.0,A,0.107,-6.009,1,0.0318,99.233,4/4,0.385,,
Alternative,Noname,no name,6i8ipO7mcVtmuNCa1uCGk9,43,0.88,0.445,245643,0.295,0.0152,F#,0.0824,-12.633,1,0.0487,80.364,4/4,0.118,,
Alternative,Anthem Lights,It Is Well With My Soul,3VgFcUGnIykIeCZ67X2mNk,43,0.882,0.411,203213,0.209,0.0,B,0.103,-6.774,1,0.0304,91.634,4/4,0.2,,
Alternative,Goodbye June,Darlin',4Ppc2CyPzXObEOLgDkP5ZR,47,0.195,0.302,300030,0.33,0.000243,D#,0.131,-9.184,1,0.0292,98.449,4/4,0.039,,
Alternative,Anthem Lights,Isn't She Lovely,4GMMQ9s8Q8yo84l0qJEuaB,47,0.83,0.419,118525,0.302,0.0,F,0.273,-7.347,1,0.0282,90.151,3/4,0.358,,
Alternative,John Moreland,You Don't Care for Me Enough to Cry,1tQGRq2WOBXjL3JWdWMONg,47,0.861,0.389,254619,0.208,7.76e-06,D,0.192,-11.669,1,0.0359,90.346,4/4,0.233,,
Alternative,John Prine,Summer's End,511dXUrzAfeivY8f0LUMZd,47,0.739,0.435,209048,0.187,0.00226,D,0.122,-17.703,1,0.0309,74.378,3/4,0.42,,
Alternative,The Velvet Underground,I Found A Reason - 2015 Remastered,63OJHHu2ambZAvdrvhdT2b,48,0.0619,0.424,255680,0.289,0.000444,F,0.104,-12.063,1,0.0271,77.941,3/4,0.335,,
Alternative,Anthem Lights,Class of 2018 Medley: I Will Remember You / See You Again / Time of My Life / Forever Young / Good Riddance (Time of Your Life),6JPlbJVKJLngNV66RQAHgD,44,0.769,0.321,164672,0.273,0.0,A#,0.103,-7.748,1,0.0311,88.238,4/4,0.347,,
Alternative,Anthem Lights,Wedding Medley: Marry Me / Bless the Broken Road / All of Me / A Thousand Years,7dVf9N3I3PnZKuonGim7FT,43,0.599,0.283,257277,0.178,0.0,A,0.191,-11.667,1,0.0315,95.151,4/4,0.173,,
Dance,George Michael,One More Try,4tcRxE0u4DESAjidCNYD2i,52,0.606,0.233,353360,0.313,2.71e-05,F,0.111,-11.371,1,0.0334,70.626,4/4,0.118,,
Electronic,Daft Punk,Rectifier,1H36BBwHZuAWszr2EET29m,43,0.584,0.438,134053,0.191,0.864,D,0.121,-14.827,1,0.0373,66.006,4/4,0.0398,,
Electronic,Bonobo,If You Stayed Over,1yGTwR9AcrzQ67JGnwO3jZ,46,0.734,0.263,323773,0.321,0.805,A,0.0971,-13.59,0,0.0324,85.001,4/4,0.147,,
Electronic,Moby,Shot In the Back of the Head,0YIuHJJjR7W8fLAKJKrm6A,30,0.412,0.365,195547,0.28,0.903,C,0.156,-9.236,1,0.0337,97.619,4/4,0.375,,
Electronic,Biosphere,Chukhung,6bsaqjuk7KIxAU8CNXc26t,40,0.409,0.375,454493,0.165,0.906,G,0.141,-27.08,1,0.0376,84.084,4/4,0.0715,,
Electronic,Francis Lai,Theme From Love Story,5qjVtEglMJOGe3xCCbjN25,40,0.956,0.296,200267,0.11,0.918,A,0.146,-20.613,0,0.0306,70.67,4/4,0.182,,
Alternative,Janelle Monáe,So Afraid,66jMYG0wj6m6oj8LKvteEn,44,0.371,0.435,243808,0.293,0.000139,F,0.13,-10.85,1,0.0291,79.983,4/4,0.0985,,
Alternative,James Blake,Vincent,0hQkqM37pYkOuWDDoxk3Ce,48,0.968,0.409,309307,0.0856,0.000357,G,0.0877,-17.347,1,0.0403,94.814,4/4,0.367,,
Alternative,Appleby,Young Lost Love,6inzFkThegOcsjxWgn0AP8,35,0.945,0.292,239658,0.321,0.389,B,0.691,-10.84,1,0.0394,75.959,4/4,0.0393,,
Alternative,Leeland,I Wonder,4XHBcO3pWqNodXN7NlAR7H,43,0.383,0.397,325493,0.342,0.0,D,0.242,-9.28,1,0.0269,80.464,4/4,0.24,,
Anime,Hiroyuki Sawano,Vogel Im Kafig,7AEcphXUR52QGYxdZ8TDVI,50,0.386,0.109,380053,0.335,0.91,A,0.0992,-12.749,0,0.0353,75.475,4/4,0.0397,,
Anime,Austin Wintory,Nascence,6zcP5A5Xv6bvCUpwXrswKa,48,0.936,0.203,106960,0.112,0.935,B,0.126,-18.029,0,0.0418,72.483,4/4,0.0374,,
Anime,Joe Hisaishi,Spirited Away - The Sixth Station,5EWcBYfePistjwchTjLjzo,49,0.926,0.314,228253,0.0273,0.8,E,0.126,-27.306,0,0.0354,77.708,4/4,0.0399,,
Anime,Nobuo Uematsu,Zanarkand (Final Fantasy X),7u5cNg0E6yqthRi5VpVbfr,46,0.93,0.0949,274680,0.193,0.872,B,0.0947,-14.48,0,0.0365,80.729,3/4,0.0922,,
Anime,Eminence Symphony Orchestra,Cave Of Mind (Howl's Moving Castle),3RHdgcZ0xDQVEM68YML36E,42,0.903,0.167,406400,0.111,0.889,C,0.65,-24.573,1,0.0445,71.516,4/4,0.0392,,
Anime,Nobuo Uematsu,Aerith's Theme (Final Fantasy VII),2s4wu9Z76eEczUOfAQXMEz,43,0.951,0.0866,348013,0.129,0.768,G,0.0764,-13.77,1,0.0373,78.835,4/4,0.0385,,
Anime,Eminence Symphony Orchestra,Laputa: Castle In the Sky Suite,2jpcucZ7Ap5j2hyQbDEGSn,42,0.867,0.185,400158,0.223,0.757,G#,0.0907,-17.11,1,0.0375,96.13,4/4,0.0733,,
Anime,Project Destati,Roxas / The Other Promise,30zNN8noXCp6KTngtbgqaJ,40,0.938,0.113,270203,0.265,0.928,G,0.314,-10.931,0,0.0356,87.435,3/4,0.0392,,
Anime,Project Destati,Lazy Afternoon Streets,1Z2R0HXuReUCurHstkLZXX,38,0.719,0.192,318102,0.272,0.939,G,0.122,-12.389,1,0.0299,70.051,4/4,0.146,,
Anime,Nobuo Uematsu,"Answers (From ""Final Fantasy XIV"")",0SA28GQNFDN5UhlT8QyaCW,41,0.791,0.166,429000,0.332,1.83e-06,D,0.0968,-11.182,0,0.0311,79.767,4/4,0.153,,
