genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,cluster,closest_mood
Movie,Bernard Minet,Ultra Man 80,0x8xSaoSfQkOYUnG1nbga0,3,0.488,0.744,178107,0.953,0.0,E,0.453,-4.986,1,0.037,129.959,4/4,0.926,,
Movie,Henri Salvador,Monsieur Boum Boum,14K25Ks5fdHjHfpIYOTc4y,8,0.689,0.704,161773,0.804,0.0422,C,0.18,-6.699,1,0.109,127.999,4/4,0.836,,
Movie,Chorus,A ty się śmiejesz ze mnie,1KVSUAEvXBSlARo03y4YYG,0,0.00323,0.711,221320,0.941,0.0011,C,0.309,-4.008,1,0.118,145.125,4/4,0.812,,
Movie,Chorus,For the Game,1cAI02OznrXX5yrqonMCfh,0,0.164,0.848,215333,0.826,0.0,A,0.131,-6.746,1,0.253,126.0,4/4,0.637,,
Movie,Larry Groce,"Sailing, Sailing",1jyknwZYTEEj1TCUozUbCi,0,0.508,0.567,22413,0.654,0.0,G,0.119,-6.058,1,0.0877,118.909,4/4,0.618,,
Movie,Bernard Minet,Dragon Ball GT,1wUjDOW0NXDBUPYPzNxczV,4,0.0287,0.669,181173,0.937,0.0,A,0.0809,-6.85,1,0.0713,134.905,4/4,0.641,,
Movie,Debbie Davis,I'll Feel Much Better When You Cry,23YuvN1cvAocACyKpYqzvu,3,0.285,0.555,278160,0.773,0.000732,E,0.0929,-5.438,1,0.04,120.07,3/4,0.616,,
Movie,Henri Salvador,"La samba de là-bas (De l'opérette ""Le Chevalier Bayard"")",244U5mhlSmoudM4BMN25Wu,0,0.659,0.804,169853,0.636,0.0,A#,0.158,-6.968,1,0.0897,128.111,4/4,0.932,,
Movie,Henri Salvador,Papa loves mambo,2Y1TGD05ZJoTihQuZfZJEZ,0,0.667,0.602,201587,0.702,1.66e-05,C,0.117,-6.352,1,0.149,149.17,4/4,0.918,,
Movie,Chorus,Swami Samartha Majhe Aai,3nGNIiz4PTsZ7cRhNNuSd2,0,0.228,0.684,203492,0.746,0.0,G#,0.196,-5.847,1,0.0448,107.854,4/4,0.745,,
R&B,Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",7GQqj9jRtDkMp8zByehXQI,65,0.0174,0.751,264847,0.766,8.07e-06,F,0.658,-3.594,1,0.0515,109.897,4/4,0.673,,
R&B,Jennifer Lopez,Dinero,22mQXNE0nCuWq4yOwcadIn,70,0.41,0.721,213750,0.881,7.61e-06,G#,0.292,-2.528,1,0.342,127.759,4/4,0.643,,
R&B,Dreezy,Body,20s34XSPIiYMGSFDRSs24t,62,0.552,0.735,232707,0.567,0.0,C,0.0659,-5.962,1,0.0635,149.968,4/4,0.574,,
R&B,T-Pain,RIP to the Parking Lot (feat. Boosie Badazz),6B8pOvEZg9L1CamPMZ5OK2,57,0.0227,0.769,242250,0.558,0.0,C#,0.0803,-6.526,1,0.344,179.993,3/4,0.771,,
R&B,Kelly Clarkson,Love So Soft,16QN8cBubEq706vNtPpOME,67,0.0053,0.808,172427,0.581,1.19e-05,B,0.0828,-5.43,1,0.07,130.012,4/4,0.758,,
R&B,Beyoncé,Countdown,3axkNosdVQLZiq1HakuGhc,66,0.308,0.665,212147,0.787,0.0,F,0.219,-5.73,1,0.151,167.349,4/4,0.699,,
R&B,Demi Lovato,Give Your Heart a Break,3sP3c86WFjOzHHnbhhZcLA,66,0.236,0.643,205347,0.695,0.0,F#,0.145,-3.099,1,0.0463,123.026,4/4,0.65,,
R&B,Doja Cat,Go To Town,6iOvnACn4ChlAw4lWUU4dd,64,0.0716,0.71,217813,0.71,1.07e-06,C,0.206,-2.474,1,0.0579,169.944,4/4,0.7,,
R&B,Ellie Goulding,On My Mind,4nS1sut0R2mgmFitKIShVe,63,0.258,0.702,213445,0.705,5.93e-06,C,0.0879,-6.666,1,0.0543,154.911,4/4,0.743,,
Movie,Chorus,Tylko ty,71EB0dzkV0HZHrtnDxzecM,0,0.00187,0.61,229507,0.949,0.000955,F,0.0624,-6.314,1,0.0342,145.077,4/4,0.971,,
Movie,Bernard Minet,"Force rouge, force jaune",28Mni6Wczj1lL1ft00YXoh,0,0.2,0.748,174907,0.77,0.0,C,0.231,-6.795,1,0.0335,131.542,4/4,0.882,,
Movie,Chorus,Haath Ke Sinhorva Le Le,33iBEZNJQYgp3Su9AySS8X,0,0.591,0.764,98789,0.673,5.12e-06,E,0.17,-3.411,1,0.0552,134.925,4/4,0.949,,
Movie,Bernard Minet,Marc et Marie,36kLCimZJruyWTfjGcInvM,2,0.804,0.758,81373,0.873,2.03e-06,C,0.292,-5.943,1,0.0299,136.964,4/4,0.966,,
Movie,Bernard Minet,Jaspion,3MAGQsjqa0yM4HqNmbQFuS,3,0.468,0.644,129280,0.972,0.0,G,0.232,-5.694,1,0.0489,150.313,4/4,0.965,,
Movie,Chorus,Pos Na Se Gnoriso,3cVM9zZgpyCUXMGCKIbnWS,0,0.619,0.673,244307,0.639,3.64e-05,G,0.482,-6.859,1,0.0276,130.026,4/4,0.647,,
Movie,Bernard Minet,Je n'ai pas su te prendre te comprendre,44omvGaxtWafrOl2Z0YKy0,1,0.326,0.695,241027,0.967,0.00681,C,0.298,-6.243,1,0.0338,129.984,4/4,0.962,,
A Capella,Tonic Sol-Fa,Cecilia,66vdxvY0MutQdyiN9OrfOG,0,0.223,0.757,105787,0.818,0.0,A#,0.102,-5.298,1,0.0948,128.108,4/4,0.964,,
Alternative,Gorillaz,Feel Good Inc.,0d28khcov6AiegSCpG5TuT,77,0.00836,0.818,222640,0.705,0.00233,F#,0.613,-6.679,1,0.177,138.559,4/4,0.772,,
Country,Chris Lane,Laps Around The Sun,6JlQE8m1L6Ys4Q8F8m3CHN,42,0.197,0.577,212707,0.784,0.0,F#,0.0963,-4.396,1,0.0493,158.085,4/4,0.757,,
Country,Gone West,Confetti,0ZoBxuXDe0JJ77TBfJ4iOX,44,0.0167,0.61,192585,0.844,1.21e-06,C,0.0703,-5.592,1,0.0664,183.989,4/4,0.852,,
Country,Chris Lane,One Girl,7Izj2m8jZrREM2Cm8yxaZS,42,0.3,0.701,167760,0.743,1.3e-05,B,0.2,-4.328,1,0.0319,134.939,4/4,0.948,,
Country,Luke Bryan,Like We Ain't Ever,3AF6fQUuWNKTk4nM87aHrW,43,0.00376,0.601,198573,0.894,3.09e-06,D,0.0813,-4.066,1,0.041,107.984,4/4,0.587,,
Country,Chase Rice,U Turn,07tWbNwnQzC4iDG5BmH0UB,42,0.000464,0.591,210016,0.851,0.0,F,0.0851,-4.385,1,0.0494,144.049,4/4,0.914,,
Country,Justin Moore,Back That Thing Up,6eLVgH7wafOJeHPzrzigrO,41,0.0474,0.679,155627,0.896,3.26e-06,C#,0.104,-4.312,1,0.0445,108.032,4/4,0.764,,
Country,Kip Moore,Reckless (Still Growin' Up),03XCbxTcOKkjVZJE6Q4bN1,43,0.0578,0.613,276747,0.766,0.000244,F#,0.155,-5.925,1,0.0389,157.916,4/4,0.807,,
Country,Dwight Yoakam,"Guitars, Cadillacs - Remastered",5F8BJJ9YUm8aulJcxFdVcN,44,0.344,0.556,184240,0.911,0.101,A,0.171,-3.822,1,0.0707,172.324,3/4,0.901,,
Country,Tyler Farr,"Chicks, Trucks, and Beer - feat. Colt Ford",6UP1XUjfh31BTPeSBh7C0l,43,0.0125,0.637,215880,0.915,0.0,G,0.0477,-5.508,1,0.0494,109.018,4/4,0.718,,
Country,Zac Brown Band,The Wind - Greatest Hits Version,6vZ7leJdb4Gm9aWcjMNqnM,44,0.205,0.691,176840,0.948,0.0,F#,0.303,-4.114,1,0.0539,136.075,4/4,0.874,,
Country,Cole Swindell,Get Me Some of That,4Umsx2T1LJHsCXRQAgmSdH,43,0.272,0.585,191640,0.753,0.0,F#,0.197,-5.871,1,0.0626,171.987,4/4,0.892,,
Country,Thomas Rhett,Front Porch Junkies - Remix,5eVrUFXI6AxgrqdnC7BxQ8,41,0.00453,0.576,222267,0.938,4.73e-06,A,0.196,-3.289,1,0.172,162.05,4/4,0.763,,
Country,Dixie Chicks,Am I the Only One (Who's Ever Felt This Way),1sdoTAw5gmlYb2wWgVq9fM,44,0.0534,0.65,205618,0.627,0.0,C,0.07,-5.004,1,0.0257,132.08,4/4,0.597,,
Country,Eli Young Band,Turn It On,7196z4iac1h7cup3h9IwfR,42,0.0113,0.573,165880,0.835,0.0,C,0.136,-5.981,1,0.0322,111.031,4/4,0.598,,
Country,Big & Rich,Loud,6igXT2TeVR3aDvAKMHLFET,0,0.0077,0.636,181360,0.949,3.29e-05,G,0.284,-3.907,1,0.0679,123.937,4/4,0.793,,
Country,Tim McGraw,Southern Voice,1R9tieT3ZujuJ77a9U5wR3,42,0.0446,0.63,242427,0.877,0.0,A,0.113,-4.106,1,0.0321,112.051,4/4,0.758,,
Country,Scotty McCreery,Write My Number On Your Hand,2UNWKc09Ep2HgNo91yYvbG,42,0.583,0.737,178733,0.59,0.0,F,0.123,-5.571,1,0.0292,116.003,4/4,0.84,,
Country,Brooks & Dunn,You Can't Take the Honky Tonk out of the Girl,56LfnhlS3xvjtCpXWOxleW,43,0.00881,0.574,208933,0.949,3.82e-05,F,0.277,-2.799,1,0.0383,114.271,4/4,0.755,,
Country,Little Texas,Kick a Little,3ZEWpYwQXW6Wd6bwihJBcb,42,0.0228,0.603,222893,0.86,4.27e-06,E,0.463,-6.82,1,0.0332,140.768,4/4,0.947,,
Country,Demun Jones,Feeling Good,5BEy7VQjhXRYfuvkdWsXbg,43,0.0657,0.715,216053,0.644,0.0,G,0.0869,-5.917,1,0.0377,136.017,4/4,0.641,,
Country,Terri Clark,Better Things To Do,29V94tQgMoSJjbzuTliPj6,42,0.12,0.567,188133,0.792,0.0,A#,0.157,-5.851,1,0.0529,150.627,4/4,0.557,,
Country,Dwight Yoakam,A Thousand Miles from Nowhere,1IsBH1V21snPB5mBs8sqUm,0,0.00973,0.601,268386,0.831,0.163,C,0.321,-5.946,1,0.0283,116.901,4/4,0.707,,
Country,The Lacs,Left Of Me,3uwevBVXZeP8SyDnSt1Q9P,43,0.199,0.705,240000,0.675,0.0,F#,0.274,-5.713,1,0.043,143.949,4/4,0.778,,
Country,Wynonna,I Saw The Light,2Ci2clS4mQqtWl8B85tikj,41,0.179,0.667,235600,0.825,1.86e-05,B,0.24,-6.621,1,0.0485,151.544,4/4,0.749,,
Country,Kenny Chesney,Ain't Back Yet,5jjoS9t9LgIsSGbVrtoKR7,41,0.0308,0.602,239813,0.944,0.00256,A#,0.436,-4.238,1,0.0427,106.958,4/4,0.797,,
Country,Lady Antebellum,Good Time To Be Alive,4MHpziFOiezKKP7wc1wBjJ,45,0.0661,0.563,191800,0.764,0.0,F,0.386,-5.164,1,0.0329,169.695,4/4,0.787,,
Country,Brothers Osborne,Let's Go There,7cyv1UfIYcZJDQ8pVfL3G4,41,0.225,0.571,177987,0.823,0.0,C,0.309,-3.687,1,0.0412,154.02,4/4,0.829,,
Country,Bottleneck,Off the Rails (feat. Upchurch),46EBSHECmtgkJUZZwTXebE,43,0.0263,0.739,192327,0.914,0.0,F#,0.277,-4.595,1,0.218,134.072,4/4,0.842,,
Country,Canaan Smith,Good Kinda Bad,21U32drYp1Ei9IX3Y1BrBb,41,0.000283,0.636,218946,0.904,5.03e-05,G#,0.0997,-4.634,1,0.039,139.968,4/4,0.637,,
Country,Toby Keith,I Like Girls That Drink Beer,5xv0IFK4Xq3mBqBZQVOWFL,41,0.00823,0.635,167040,0.883,0.00207,C,0.133,-4.601,1,0.0315,133.051,4/4,0.942,,
Country,Josh Turner,Deep South,0MVWxE7RIYMDt8JPC2vLNF,42,0.136,0.79,235800,0.879,0.00118,C,0.0845,-5.698,1,0.0371,116.992,4/4,0.963,,
Country,Brett Eldredge,On And On,0lkte5wif8KIuWYYPw7yZo,42,0.232,0.685,188467,0.581,0.0,G#,0.101,-6.179,1,0.0456,183.895,4/4,0.718,,
Country,Zac Brown Band,Mary,2bmH1RmA0mAxBUqMDfxkk1,43,0.16,0.637,168000,0.947,3.79e-05,E,0.178,-5.875,1,0.0457,144.99,4/4,0.805,,
Country,Brooks & Dunn,Put a Girl in It,2whdkf4NsAloiUJ9ISRVDM,42,0.0328,0.589,207880,0.953,0.00102,E,0.062,-3.317,1,0.0619,119.967,4/4,0.772,,
