genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,cluster,closest_mood
Movie,Michel Roux,Les aventures d'Arsène Lupin: 813 - Partie 5,3kQkcxkRneREJohv69y6hD,0,0.529,0.643,2359123,0.415,0.0,F,0.536,-15.622,0,0.883,101.296,3/4,0.405,,
Movie,Céline Languedoc,Soley an mwen,6FEP94PGCC2l0PjwuTJBri,0,0.688,0.582,226573,0.687,0.0,F,0.28,-6.047,0,0.0634,91.009,4/4,0.374,,
Movie,Leopold Stokowski,"Marche Slave, Op. 31",4LJDfFZEzxPKp2rhGNzGnx,1,0.896,0.31,586960,0.412,0.89,A#,0.67,-12.718,0,0.0432,86.735,4/4,0.354,,
Movie,Claire Guyot,Ave Maria,6cCGSZT1mbTEaUdnzHZjhn,0,0.839,0.281,250636,0.515,0.00058,G#,0.378,-6.894,0,0.0371,64.308,4/4,0.0739,,
Alternative,Summer Walker,Girls Need Love,644rGY6maSElnKVsAg1gJj,69,0.558,0.645,140760,0.418,0.0003,F#,0.562,-10.065,0,0.29,96.963,4/4,0.123,,
Alternative,Slipknot,The Devil In I,5hheGdf1cb4rK0FNiedCfK,68,0.00591,0.398,342821,0.939,0.000881,A,0.357,-2.865,0,0.0648,92.027,4/4,0.235,,
Alternative,Masego,Navajo,6zWU7YALeEDMcPGhKKZJhV,66,0.114,0.686,194157,0.592,1.16e-06,F#,0.248,-7.398,0,0.26,89.013,4/4,0.364,,
Alternative,Pearl Jam,Black,5Xak5fmy089t0FYmh3VJiY,71,0.323,0.36,342653,0.684,0.0,E,0.34,-6.457,0,0.0308,77.15,4/4,0.2,,
Alternative,The Neighbourhood,Afraid,7brQHA2CgQpcMBiOlfiXYb,65,0.00892,0.464,251187,0.701,0.309,F#,0.335,-5.693,0,0.0411,83.996,4/4,0.356,,
Alternative,A Perfect Circle,Judith,5KDNFlHAdDJ84fhK27c35X,63,3.32e-05,0.365,247267,0.894,0.171,B,0.267,-4.682,0,0.0572,82.305,3/4,0.31,,
Alternative,The White Stripes,Fell In Love With A Girl,6YK2tAEYnHgYkkC6TSziqM,59,0.704,0.178,110093,0.981,7.45e-05,E,0.854,-1.743,0,0.162,88.21,4/4,0.369,,
Alternative,Mudvayne,Happy?,0INUE1K7cEiE8VH63Rv5RJ,64,0.000823,0.546,216427,0.971,2.11e-05,F,0.275,-2.661,0,0.0965,100.078,4/4,0.383,,
Alternative,Gorillaz,Saturnz Barz (feat. Popcaan),7l9CE3wmEGOUYw1j4ETjnL,62,0.0272,0.383,181907,0.621,0.0,F#,0.427,-5.878,0,0.113,80.051,4/4,0.213,,
Alternative,Five Finger Death Punch,Under and Over It,4QksBPOns9inxD6gaAo4Zc,57,1.41e-05,0.468,218133,0.996,0.0,B,0.26,-3.027,0,0.179,75.978,4/4,0.094,,
Alternative,Skillet,Save Me,4pJM8ZZ3YIO4xOeD5k8s5P,61,0.000377,0.556,223241,0.888,0.0,C#,0.214,-3.985,0,0.0377,96.033,4/4,0.446,,
Alternative,The Revivalists,All My Friends,2WgbFkQQswVVEWnyKnFo2q,56,0.111,0.602,218333,0.837,3.01e-06,E,0.58,-4.897,0,0.0408,90.038,4/4,0.357,,
Alternative,The Score,Higher,0sJ4NbFdEhgLOtInlbRmFl,61,0.00462,0.498,214613,0.736,0.0,A,0.293,-4.997,0,0.03,83.958,4/4,0.442,,
Country,Outlaw,Backwoods Badass (feat. Redneck Souljers),4hMV5yytrZwcSLiSUrIKc1,43,0.408,0.74,182500,0.839,0.0,F#,0.226,-4.485,0,0.243,86.958,4/4,0.204,,
Country,The Lacs,Black Moon,4weRdciyTNXAnZGIxQI6bS,41,0.0289,0.668,199400,0.71,0.0,F,0.208,-5.699,0,0.0378,82.965,4/4,0.269,,
Alternative,Lamb of God,Laid to Rest,1yc53HK08sDab7PDFgnLWk,62,0.000293,0.366,230127,0.956,0.00447,A#,0.449,-3.725,0,0.108,104.016,3/4,0.159,,
Alternative,The Neighbourhood,Single,5Ma3BlNVDtn3JiwMEafSaq,60,0.755,0.249,262320,0.492,0.0,D,0.243,-7.108,0,0.0352,54.134,4/4,0.34,,
Alternative,Sinead Harnett,If You Let Me,5LKXxwgll43fxe1lPF7sze,62,0.158,0.407,232878,0.403,5.98e-06,F,0.553,-8.396,0,0.113,90.907,1/4,0.329,,
Alternative,From Ashes to New,Crazy,31xmybhg0i4lxMIn45aVq4,54,0.00398,0.277,185697,0.962,0.0,E,0.354,-3.408,0,0.112,95.056,4/4,0.355,,
Alternative,Skillet,Rise,1W0YS64vF9qgMVLuN76aqg,58,0.0127,0.57,260787,0.921,0.0,E,0.818,-3.892,0,0.0724,87.938,4/4,0.381,,
Alternative,Big K.R.I.T.,Make It Easy,5jsdv5PV5xgplwoaNc3Zzj,56,0.243,0.645,171492,0.745,0.0,G,0.384,-5.021,0,0.148,83.656,4/4,0.226,,
Alternative,Evanescence,Everybody's Fool,0tWEB6BxbI48XN79QE1JbT,60,0.00141,0.44,195880,0.843,6.61e-05,D,0.246,-5.083,0,0.0416,95.1,4/4,0.271,,
Alternative,The Internet,Palace/Curse,300DUx4tdtCdGEUXR032jA,57,0.0351,0.447,440013,0.625,0.000727,A#,0.243,-8.212,0,0.323,67.104,4/4,0.261,,
Alternative,Five Finger Death Punch,Trouble,4YFiGIMiWsgi7uIVowyxlu,53,1.71e-05,0.449,192188,0.992,0.0,F,0.235,-2.538,0,0.0978,83.973,4/4,0.357,,
Alternative,System Of A Down,ATWA,6gCVA6ja6g0foIsWv0RuSZ,61,0.00357,0.376,176200,0.787,0.0,F,0.552,-4.731,0,0.0395,87.105,4/4,0.372,,
Alternative,Five Finger Death Punch,Fake,4Xc169q96Jad1j67n3IP1S,52,0.000958,0.493,210900,0.998,1.86e-06,E,0.252,-3.487,0,0.109,74.99,4/4,0.437,,
Alternative,Barns Courtney,Champion,0FNLnZRNWEIbGsb8jkU2lv,56,0.0789,0.54,190360,0.739,0.0,E,0.225,-6.474,0,0.0636,78.977,4/4,0.434,,
Alternative,Shinedown,If You Only Knew,0CkSF2TAqIu8TJaVwwAOnT,53,0.000347,0.449,226640,0.956,0.0,A,0.325,-4.011,0,0.0398,97.011,4/4,0.321,,
Alternative,Justine Skye,Build,0G3qCSe4KcWFc0EKlXCEo8,57,0.0209,0.718,247333,0.516,3.35e-06,B,0.283,-4.953,0,0.147,73.739,4/4,0.337,,
