genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,cluster,closest_mood
Movie,Chorus,Mangala Aarti,0jIY0oRAp1T4mezDyEhOad,3,0.958,0.758,308627,0.264,0.0,D#,0.0543,-11.966,1,0.0496,110.068,3/4,0.742,,
Movie,Henri Salvador,Une chanson douce,1J5pa9cW0uCsNrFwag0jDD,2,0.716,0.835,142813,0.384,8.13e-06,G#,0.265,-15.629,1,0.127,126.892,4/4,0.971,,
Movie,Henri Salvador,La Samba De Là-Bas,1X8uhUgBKmotpvHrsS7fEe,0,0.942,0.883,171027,0.418,0.0,A#,0.362,-11.432,1,0.228,128.494,4/4,0.858,,
Movie,Dorothée,J'ai retrouvé ma valise,24QIhmFU3ve4VIwDlBTtlp,1,0.581,0.885,212627,0.341,0.0,F,0.0928,-16.44,1,0.0758,121.628,4/4,0.911,,
Movie,Fabien Nataf,I Try,2e3v5wfUN8UB4jB41eDr4k,4,0.48,0.914,75102,0.224,2.44e-05,D,0.232,-15.397,1,0.0556,103.926,4/4,0.761,,
Movie,Dominique Tirmont,La Toulousaine,2kfppyLcqATE9Qi8hSOiyx,0,0.91,0.388,118600,0.448,0.0,A,0.349,-6.823,1,0.0558,90.92,3/4,0.679,,
Movie,Henri Salvador,Chanson surrealiste,3GgYVk6uLkNNuE2O7zHhvZ,0,0.79,0.701,133982,0.347,3.16e-06,G#,0.249,-10.82,1,0.627,104.997,3/4,0.571,,
Movie,Jean Claude Corbel,Tom Pouce 1,3uC0IWrdPuQUAxysPYFcLW,0,0.738,0.571,167053,0.204,0.0,E,0.319,-15.638,1,0.878,173.591,3/4,0.673,,
Movie,Chorus,Titlee Pyari Titlee,4PBWE5hmOPNGB2IFPvpQGV,0,0.78,0.606,159840,0.389,0.0,B,0.0529,-13.774,1,0.0316,94.089,4/4,0.848,,
Movie,Frank Churchill,"Whistle While You Work - London, Dec. 8, 1938, HMV B-8835, MX. OEA 7224-1",4TVlu8gVdYM53SoW3k7S57,0,0.987,0.723,191040,0.158,0.145,D,0.115,-16.343,1,0.0511,110.319,4/4,0.807,,
R&B,bLAck pARty,Bloom,05xA64s3UzOOmAnh9SIIjn,61,0.261,0.749,302001,0.399,0.0126,G#,0.0949,-7.526,1,0.0393,89.972,4/4,0.816,,
Movie,Henri Salvador,L'Ombrelle et le parapluie,4epSkPHTH5tXr1HSDVUXZ5,0,0.959,0.495,138387,0.23,0.000207,F,0.108,-16.153,1,0.034,132.694,4/4,0.615,,
Movie,Martin & les fées,"Premier voyage (par Véronique Jannot, Paul Ventimila & Lorie Pester)",4msdEFAWaCFmMODhTn1X1J,2,0.317,0.574,176280,0.439,0.0,G,0.488,-12.247,1,0.873,164.93,3/4,0.574,,
Movie,Randy Newman,Eliza,5VkG4AjvsgWNEPYLBZPE0K,0,0.992,0.522,29200,0.117,0.981,C#,0.131,-22.993,1,0.0793,110.624,4/4,0.911,,
Movie,Jean Claude Corbel,Les charognards,62cHdVNaIik1TuacceA77E,0,0.616,0.686,91301,0.221,0.0,G#,0.143,-17.351,1,0.87,130.553,1/4,0.58,,
