genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,cluster,closest_mood
Movie,Henri Salvador,C'est beau de faire un Show,0BRjO6ga9RKCKjfDqeFgWV,0,0.611,0.389,99373,0.91,0.0,C#,0.346,-1.828,1,0.0525,166.969,4/4,0.814,,
Movie,Le Club des Juniors,Les bisous des bisounours,0VSqZ3KStsjcfERGdcWpFO,10,0.319,0.598,152694,0.705,0.00125,G,0.349,-7.79,1,0.0281,137.496,4/4,0.718,,
Movie,Bernard Minet,Ultra Man 80,0x8xSaoSfQkOYUnG1nbga0,3,0.488,0.744,178107,0.953,0.0,E,0.453,-4.986,1,0.037,129.959,4/4,0.926,,
Movie,Dorothée,Clic clac cloc,148uA2Y78xfxDiCNjgZA0v,1,0.513,0.855,183467,0.504,0.0,D,0.0778,-12.359,1,0.0737,128.052,4/4,0.682,,
Movie,Henri Salvador,Monsieur Boum Boum,14K25Ks5fdHjHfpIYOTc4y,8,0.689,0.704,161773,0.804,0.0422,C,0.18,-6.699,1,0.109,127.999,4/4,0.836,,
Movie,Jean Claude Corbel,Pourquoi aller plus loin ?,15CpJP0LXchBUjpB8RKh8m,0,0.669,0.707,71299,0.696,0.0,C,0.197,-10.472,1,0.028,114.752,4/4,0.833,,
Movie,Henri Salvador,Une chanson douce,1J5pa9cW0uCsNrFwag0jDD,2,0.716,0.835,142813,0.384,8.13e-06,G#,0.265,-15.629,1,0.127,126.892,4/4,0.971,,
Movie,Henri Salvador,La Samba De Là-Bas,1X8uhUgBKmotpvHrsS7fEe,0,0.942,0.883,171027,0.418,0.0,A#,0.362,-11.432,1,0.228,128.494,4/4,0.858,,
Movie,Henri Salvador,Silence on tourne,1bo3gLD3Es261UYTfMLh4y,0,0.767,0.776,169352,0.468,1.27e-06,G#,0.214,-11.235,1,0.317,116.674,4/4,0.908,,
Movie,Henri Salvador,Quand un artiste - live,1dQKx8EJBbhHxc7qOgsBjb,1,0.619,0.483,218187,0.497,0.0,E,0.421,-12.089,1,0.415,121.719,4/4,0.569,,
Movie,Larry Groce,"Sailing, Sailing",1jyknwZYTEEj1TCUozUbCi,0,0.508,0.567,22413,0.654,0.0,G,0.119,-6.058,1,0.0877,118.909,4/4,0.618,,
Movie,Ken Page,Dancing with Gene,1qCTyNzxGkFXnvdrqT5olw,0,0.751,0.566,371720,0.512,0.0,G,0.158,-8.904,1,0.666,138.484,3/4,0.464,,
Movie,Debbie Davis,I'll Feel Much Better When You Cry,23YuvN1cvAocACyKpYqzvu,3,0.285,0.555,278160,0.773,0.000732,E,0.0929,-5.438,1,0.04,120.07,3/4,0.616,,
Movie,Henri Salvador,"La samba de là-bas (De l'opérette ""Le Chevalier Bayard"")",244U5mhlSmoudM4BMN25Wu,0,0.659,0.804,169853,0.636,0.0,A#,0.158,-6.968,1,0.0897,128.111,4/4,0.932,,
Movie,Henri Salvador,Sketch producteur (suite),279g1SI8xH7ItKaJxM6TLI,1,0.712,0.63,56067,0.606,0.0,G,0.614,-10.914,1,0.961,167.889,5/4,0.499,,
Movie,Henri Salvador,Papa loves mambo,2Y1TGD05ZJoTihQuZfZJEZ,0,0.667,0.602,201587,0.702,1.66e-05,C,0.117,-6.352,1,0.149,149.17,4/4,0.918,,
Movie,Dorothée,J'ai vidé ma valise,2aN00IOtoPDWAsTzWeGT21,0,0.334,0.84,148867,0.557,0.0,G,0.181,-14.391,1,0.0407,141.148,4/4,0.967,,
Movie,Dominique Tirmont,La Toulousaine,2kfppyLcqATE9Qi8hSOiyx,0,0.91,0.388,118600,0.448,0.0,A,0.349,-6.823,1,0.0558,90.92,3/4,0.679,,
Movie,Chorus,Tsamikos Horos (Tsamikos Dance),2rQ1lgMI65SW3je5bQlA1K,0,0.398,0.633,211133,0.605,0.000169,F,0.109,-5.584,1,0.0288,90.014,3/4,0.727,,
Movie,Chorus,Lalitha Parameshwari,2rT3uD6EjROZdP6UIf6C6p,0,0.761,0.672,69355,0.651,0.00445,C,0.109,-8.598,1,0.0278,109.982,4/4,0.813,,
Movie,Chorus,Aa Divyanaama,3Ez6AS04xRmFq3K7wr7ayj,0,0.813,0.525,296373,0.607,2.95e-05,G,0.119,-9.787,1,0.0282,131.504,4/4,0.699,,
Movie,Chorus,Ven a una nave espacial,3UkjsupdIvhkqnNqAZ3KAQ,1,0.506,0.653,66320,0.45,0.0,G,0.385,-7.184,1,0.0402,125.081,4/4,0.663,,
Movie,Henri Salvador,Bon appétit mademoiselle,3Vr2wQVnZ24ZA7JOh1edDH,0,0.726,0.478,143933,0.461,2.95e-06,F,0.0776,-8.745,1,0.0771,174.504,4/4,0.768,,
Movie,Debbie Davis,Mele Kalikimaka,3kjIWN6qPqC5YaCEByBqJ1,0,0.605,0.641,170373,0.49,0.0,G,0.333,-7.021,1,0.0329,103.356,4/4,0.939,,
Movie,Henri Salvador,Il Pleut Bergère - Remastered,44fcBVy6aGmWkqrIaIuyg8,5,0.304,0.423,124067,0.454,0.0,C#,0.288,-10.19,1,0.03,88.369,4/4,0.708,,
Movie,Larry Morey,The Silly Song (The Dwarfs' Yodel Song),48tWWGBcrOGnsHLr4F6QUL,1,0.713,0.823,103178,0.633,0.000512,A#,0.0536,-11.181,1,0.0343,115.222,4/4,0.973,,
Movie,Chorus,Titlee Pyari Titlee,4PBWE5hmOPNGB2IFPvpQGV,0,0.78,0.606,159840,0.389,0.0,B,0.0529,-13.774,1,0.0316,94.089,4/4,0.848,,
R&B,Jennifer Lopez,Dinero,22mQXNE0nCuWq4yOwcadIn,70,0.41,0.721,213750,0.881,7.61e-06,G#,0.292,-2.528,1,0.342,127.759,4/4,0.643,,
R&B,Nick Jonas,"Introducing Me - From ""Camp Rock 2: The Final Jam""",74tQaH4CxM5Rs9BzerEbHr,68,0.46,0.513,186893,0.496,0.0,B,0.106,-6.049,1,0.0511,113.072,4/4,0.676,,
R&B,Dreezy,Body,20s34XSPIiYMGSFDRSs24t,62,0.552,0.735,232707,0.567,0.0,C,0.0659,-5.962,1,0.0635,149.968,4/4,0.574,,
R&B,Dijon,Skin,467t3218y3yihFcyDGWjr0,62,0.512,0.674,230625,0.616,2.1e-06,G,0.331,-3.471,1,0.0272,94.934,4/4,0.551,,
R&B,Ari Lennox,40 Shades of Choke,5toSnLJgSEwlnNzq61t63x,62,0.619,0.733,212670,0.508,0.00452,F,0.0491,-7.962,1,0.461,104.62,4/4,0.867,,
R&B,bLAck pARty,Bloom,05xA64s3UzOOmAnh9SIIjn,61,0.261,0.749,302001,0.399,0.0126,G#,0.0949,-7.526,1,0.0393,89.972,4/4,0.816,,
R&B,Snoh Aalegra,I Want You Around,4Rdan5edd4P9FvBzv2meZD,61,0.362,0.705,213293,0.513,0.0559,E,0.08,-7.054,1,0.2,168.056,4/4,0.649,,
R&B,Beyoncé,Countdown,3axkNosdVQLZiq1HakuGhc,66,0.308,0.665,212147,0.787,0.0,F,0.219,-5.73,1,0.151,167.349,4/4,0.699,,
R&B,James Blake,Power On,5Yq38evNk28qlTVHHtwBhT,65,0.849,0.649,246400,0.468,0.00706,D,0.106,-10.951,1,0.0447,92.489,4/4,0.618,,
R&B,John Legend,Love Me Now,6nxQdXa1uAL0rY72wPZu89,68,0.591,0.488,210293,0.762,0.0,G#,0.0763,-3.842,1,0.0865,123.889,4/4,0.709,,
R&B,Ne-Yo,Sexy Love,10aWGOqSDBqvNzJ9NeKDbK,68,0.265,0.622,220853,0.503,0.000473,G#,0.0596,-6.417,1,0.0433,93.984,4/4,0.58,,
R&B,Bryson Tiller,Overtime,2gq9iG0maBxkuZI7yfGJuv,64,0.254,0.657,218253,0.497,0.0,C#,0.367,-7.689,1,0.112,106.049,4/4,0.594,,
R&B,Ellie Goulding,On My Mind,4nS1sut0R2mgmFitKIShVe,63,0.258,0.702,213445,0.705,5.93e-06,C,0.0879,-6.666,1,0.0543,154.911,4/4,0.743,,
