genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,cluster,closest_mood
Movie,Chorus,High (feat. Syross & Messieh),3R3vtgh4lKgRFtkrfrrUQs,0,0.414,0.642,154176,0.63,0.0,A#,0.145,-5.814,0,0.187,149.973,4/4,0.19,,
R&B,Olivia O'Brien,Love Myself,4XzgjxGKqULifVf7mnDIQK,68,0.596,0.653,213947,0.621,0.0,B,0.0811,-5.721,0,0.0409,100.006,4/4,0.466,,
R&B,Jessie Reyez,Body Count (feat. Normani & Kehlani) - Remix,4o7WXic8yAQWOV7iJXZ4jD,62,0.458,0.703,158947,0.586,0.0,B,0.154,-4.587,0,0.212,149.736,4/4,0.264,,
R&B,Joji,SLOW DANCING IN THE DARK - Loud Luxury Remix,59pC3ONM6ggVn0CYi0l1KD,65,0.00616,0.752,176414,0.883,0.0998,F,0.167,-4.45,0,0.0426,122.026,4/4,0.509,,
R&B,Tory Lanez,S.w.I.n.G (feat. PnB Rock & Trey Songz),7o8xfkcYJs1CPZXWiIFimg,67,0.244,0.621,278515,0.777,0.0,G#,0.449,-4.75,0,0.151,138.007,4/4,0.526,,
R&B,City Girls,Season (feat. Lil Baby),1VAIB64hpLeaoDKzaCLywU,61,0.0101,0.595,202943,0.695,0.0,G,0.157,-4.634,1,0.306,139.037,5/4,0.401,,
R&B,Jacquees,Inside feat. Trey Songz,1yIEiamPoVQGpFsYaImNFY,64,0.0163,0.71,248467,0.578,0.0,B,0.246,-5.84,0,0.0604,125.969,4/4,0.512,,
R&B,Iggy Azalea,Black Widow,7pNC5ZIKtwUK0ReSpM3P9f,65,0.181,0.741,209423,0.726,0.000189,D#,0.111,-3.77,0,0.143,163.991,4/4,0.527,,
R&B,DJ Khaled,All I Do Is Win,6u5M4jPpYkoRV4vVHDQvkd,70,0.0104,0.549,227293,0.791,0.0,A#,0.444,-3.535,1,0.133,150.094,4/4,0.293,,
R&B,GoldLink,Got Friends,1PVza5KmhSJhz12OewWciE,67,0.104,0.691,226963,0.75,0.0,A#,0.123,-3.934,0,0.347,143.744,4/4,0.345,,
R&B,Tinashe,Like I Used To,3fMKnwiByu9yfeD5ISn9Et,66,0.571,0.717,187537,0.599,8.99e-06,B,0.102,-6.156,1,0.115,159.78,4/4,0.385,,
R&B,DaniLeigh,Lil Bebe,0rj3snMN7CFiYaLIVSegml,62,0.0353,0.835,174093,0.511,1.19e-06,F,0.11,-4.431,0,0.0719,136.021,4/4,0.0792,,
R&B,The Carters,NICE,44lusH2vzc4sRAwsooRhPh,60,0.092,0.912,233680,0.533,1.48e-06,C#,0.174,-5.587,1,0.0618,119.922,4/4,0.208,,
R&B,Trey Songz,Neighbors Know My Name,6jvvpPJQJy5rMOEkLlADl6,63,0.0379,0.663,186307,0.693,0.0,G,0.162,-5.776,0,0.0635,120.026,4/4,0.391,,
R&B,SZA,Prom,5yvhdo8FXbBsIllxv2Rr94,64,0.0658,0.805,196133,0.702,0.0,C#,0.123,-4.877,1,0.0887,120.041,4/4,0.225,,
R&B,T-Pain,All I Want (feat. Flipp Dinero),4FjcZsKyGhhZnuYq0nzXpZ,55,0.186,0.514,161239,0.613,0.0,E,0.284,-6.506,1,0.212,111.913,5/4,0.439,,
R&B,Orion Sun,Antidote,7GdGBGwFMg21mY9kNpNKXI,60,0.161,0.506,169756,0.807,0.0,G#,0.114,-3.96,1,0.249,163.239,4/4,0.394,,
