genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,cluster,closest_mood
Movie,Leopold Stokowski,Symphony No.4 In E Minor Op.98 : IV. Allegro Energico E Passionato,0XKgegoxLcIihK3Klpfo3N,0,0.921,0.191,566960,0.145,0.529,E,0.141,-17.239,0,0.0393,85.225,4/4,0.0849,,
Movie,Leopold Stokowski,"We All Believe In One God, Giant Fugue, BWV 680",2wQgXSFESMAgmpkI14Pr7s,1,0.962,0.168,195827,0.185,0.855,D,0.125,-17.834,0,0.0385,143.78,4/4,0.195,,
Movie,Richard M. Sherman,Forgotten Dreams,3PyfS1XmjHk1JZ004a2bFZ,0,0.987,0.429,89947,0.0478,0.959,E,0.102,-14.17,0,0.0468,82.388,4/4,0.111,,
Movie,Randy Newman,Henry Goes To Work,6QbtNfEpo5ae0pf6NHY9EX,0,0.737,0.382,115133,0.287,0.834,C,0.0644,-15.865,0,0.0456,79.908,4/4,0.157,,
Movie,Richard M. Sherman,チム・チム・チェリー (竹内永和 編),1D7FmXn6lvCtw9ZTY4wMkv,0,0.991,0.423,119067,0.221,0.881,A,0.136,-16.081,0,0.0733,100.269,3/4,0.342,,
Movie,Randy Newman,Little Polenta Is Born,1DK9QmXY7YjbnavMfWsUUN,0,0.67,0.189,146467,0.171,0.711,C,0.105,-19.101,0,0.0426,119.876,4/4,0.134,,
Movie,Leopold Stokowski,"Symphony No.9 in E Minor, Op.95 ""From the New World"": IV. Allegro con fuoco",1igms5MlLF5SuLIR2htJyd,1,0.955,0.321,672453,0.134,0.325,E,0.255,-16.159,0,0.0358,143.779,4/4,0.205,,
Movie,Randy Newman,Could You Milk Me? - Meet The Parents/Soundtrack,6VWyteGeKsSFMRHgC4zXJd,2,0.936,0.195,159000,0.034,0.4,G,0.0667,-21.518,0,0.0355,79.897,4/4,0.053,,
Movie,Leopold Stokowski,Prince Igor: Polovtsian Dances (abridged),6ss06Ov3THBcwORL9vQOxh,2,0.988,0.396,251427,0.157,0.71,A,0.152,-17.977,0,0.0388,128.57,4/4,0.326,,
A Capella,The Singers Unlimited,The Way We Were,6X128PGN8ZbVubV3nxqhnv,10,0.974,0.209,188653,0.137,0.256,A,0.14,-16.809,0,0.0377,85.845,3/4,0.15,,
Alternative,The Strokes,"Call It Fate, Call It Karma",3Y4rUyw7XBCK6hGHCOt6rp,59,0.983,0.544,204773,0.241,0.774,E,0.101,-14.779,0,0.03,109.437,4/4,0.359,,
Alternative,Sturgill Simpson,Breakers Roar,7rR5X9RKz5VprclstYOLb5,50,0.669,0.369,212587,0.31,0.514,B,0.245,-13.384,0,0.0309,84.41,4/4,0.165,,
Alternative,Radiohead,Pyramid Song,3A9vIxzGBjEfqmDK7H9exS,57,0.786,0.127,288733,0.335,0.427,B,0.111,-8.298,0,0.0329,77.078,4/4,0.0686,,
Alternative,Sabrina Claudio,Naked,7m6NKiP2uUoDzWS1GxBfFt,51,0.723,0.504,187344,0.34,0.234,D,0.511,-12.018,0,0.0881,146.131,4/4,0.33,,
Country,The Be Good Tanyas,Waiting Around To Die,3ulipeC36lUvRzPETyFlm9,50,0.496,0.635,313880,0.275,0.143,F,0.109,-20.085,0,0.0394,96.737,4/4,0.323,,
Alternative,Mndsgn,Camelblues,6AQobWDXD64OnrlmIeZaja,50,0.947,0.594,152985,0.304,0.198,A,0.0933,-15.353,0,0.029,79.994,4/4,0.13,,
Alternative,James Blake,Limit To Your Love,33BnSMHgX0AsbKSIbkuMwh,54,0.549,0.775,276720,0.281,0.242,A#,0.0941,-10.216,0,0.096,139.951,4/4,0.0398,,
Alternative,RKCB,Comatose,0x7Vf2tS7Qe69RwtO3Ub1W,49,0.872,0.561,260870,0.301,0.305,A,0.103,-10.896,0,0.041,137.995,4/4,0.0594,,
Alternative,Kyuss,Space Cadet,07HF5tFmwh6ahN93JC6LmE,49,0.449,0.461,422533,0.168,0.886,B,0.267,-16.225,0,0.042,169.675,4/4,0.309,,
Alternative,Radiohead,You And Whose Army?,6UFvGJalSngqprmUJd59Eo,52,0.794,0.295,191000,0.15,0.208,C#,0.103,-10.243,0,0.0325,137.393,4/4,0.131,,
Alternative,Kelsey Lu,Rebel,5bWpoR6bbx1J49ZIrrpS11,48,0.821,0.329,224040,0.341,0.162,E,0.109,-10.201,0,0.0343,121.986,3/4,0.143,,
Alternative,Florence + The Machine,Falling,3bENrkfntz1ugrsi8yzT9C,42,0.791,0.425,212973,0.33,0.202,D,0.135,-9.038,0,0.0313,113.201,4/4,0.0764,,
Alternative,Jai Paul,jasmine - demo,2FDVRMuNMw1pz4d03zyrtQ,48,0.783,0.685,253080,0.297,0.924,A#,0.118,-9.694,0,0.0834,89.997,4/4,0.233,,
Alternative,Jai Paul,jasmine (demo),59tpgfXjTc3QR7mWJj8Wln,48,0.773,0.576,253612,0.291,0.908,A#,0.205,-9.919,0,0.108,89.529,4/4,0.201,,
Dance,Tycho,Receiver,78qM62MHvNxFJLpShqmq28,48,0.686,0.639,255209,0.274,0.897,D,0.0897,-16.048,0,0.0424,125.003,4/4,0.0397,,
Electronic,Daft Punk,Within,7Bxv0WL7UC6WwQpk9TzdMJ,58,0.894,0.702,228507,0.297,0.485,A#,0.103,-14.116,0,0.0317,110.116,4/4,0.0676,,
Electronic,DJ Koze,Muddy Funster,6RYnTnUSj8uTZhIJUoOuC8,57,0.922,0.367,324400,0.272,0.58,G,0.112,-14.315,0,0.0523,119.753,3/4,0.0868,,
Electronic,Nightmares On Wax,You Wish,2MddqD0MryxIAKS03raHsz,61,0.72,0.774,210467,0.244,0.915,A,0.379,-9.748,0,0.0299,103.464,4/4,0.421,,
Electronic,Trentemøller,Miss You,4WTmtPRtIpjzgwBbQsMYyo,55,0.946,0.542,247818,0.16,0.928,G,0.263,-21.672,0,0.0365,126.921,4/4,0.198,,
Electronic,Thom Yorke,Suspirium,0rlfGg5Ym6J9AA97ah7voH,62,0.989,0.473,201768,0.217,0.905,C#,0.134,-15.662,0,0.032,151.002,3/4,0.441,,
Electronic,Jamie xx,Stranger In A Room,5yRSmLQXcMleMwbeLpUKhX,43,0.979,0.664,177511,0.157,0.405,C,0.105,-17.272,0,0.0456,130.014,4/4,0.341,,
Electronic,Bonobo,Noctuary,1sVPnm3MQqQGaCUH1OO8NV,50,0.751,0.667,322373,0.299,0.839,G,0.204,-8.98,0,0.0392,90.016,4/4,0.382,,
Electronic,Moby,Whispering Wind (B-Sides),21VSSsSwr0oTNJQtILJbdK,39,0.653,0.797,362667,0.297,0.902,A,0.106,-11.122,0,0.0533,92.002,4/4,0.232,,
Electronic,Massive Attack,The Spoils,1l0Wqi6wcuo75Dc0Vi1EQn,39,0.706,0.425,345691,0.169,0.335,F#,0.0934,-15.217,0,0.0311,142.525,4/4,0.0766,,
Electronic,Moby,Everloving,1dXUp8QkH4bkxUr4pOYvld,38,0.404,0.521,205573,0.338,0.814,E,0.0908,-13.415,0,0.0328,83.817,4/4,0.232,,
Electronic,Mount Kimbie,How We Got By,2YjdhziaHroiYMClwCBbIQ,48,0.8,0.461,306638,0.322,0.164,E,0.107,-16.197,0,0.0326,180.072,4/4,0.306,,
Electronic,Sofa Surfers,Sofa Rockers - Richard Dorfmeister Remix,6dfDcCymuavZngy46rSGMC,48,0.535,0.716,308613,0.33,0.877,E,0.642,-12.724,0,0.11,95.907,4/4,0.39,,
Electronic,Jean du Voyage,Shanti,1qzOaUlljUwB73NHNcFbkG,49,0.607,0.764,212058,0.308,0.128,F,0.162,-12.342,0,0.0505,119.98,4/4,0.098,,
Electronic,Nicolas Jaar,Colomb,5PV6r93MQICDlBiCEbURLZ,45,0.81,0.642,202763,0.151,0.773,C,0.742,-19.243,0,0.189,158.064,3/4,0.0703,,
Electronic,Bonobo,If You Stayed Over,1yGTwR9AcrzQ67JGnwO3jZ,46,0.734,0.263,323773,0.321,0.805,A,0.0971,-13.59,0,0.0324,85.001,4/4,0.147,,
Electronic,Christian Löffler,Haul (feat. Mohna),5sPQZv8GaaGrRFLa5dDzRK,46,0.434,0.634,315369,0.207,0.881,B,0.105,-22.772,0,0.0354,117.981,4/4,0.174,,
Electronic,Aphex Twin,Jynweythek,7etelDpVxaPTzmeZrYo8Qy,42,0.863,0.72,143880,0.246,0.888,D#,0.1,-19.856,0,0.0715,119.986,4/4,0.119,,
Electronic,Sasha,View2,6HCn0ohVORAZO3re1RpPyY,39,0.52,0.692,350449,0.257,0.908,G,0.0645,-18.929,0,0.0545,171.936,4/4,0.226,,
Electronic,Carbon Based Lifeforms,Equilibrium,1rUA4PZLV6UIFgLHOLQC0P,40,0.907,0.247,536848,0.328,0.899,E,0.0986,-14.536,0,0.0628,75.959,4/4,0.0381,,
Electronic,DJ Shadow,Transmission 2,1U3n6XpjZXK2EagLts0Mqa,36,0.905,0.456,89227,0.142,0.925,G,0.126,-15.598,0,0.032,79.662,4/4,0.419,,
Electronic,The Crystal Method,Carry On,36EhrtwDKVp6tt3QmSS0Wo,32,0.982,0.67,94040,0.291,0.962,D,0.101,-19.695,0,0.0369,112.543,4/4,0.26,,
Electronic,Moby,Whispering Wind,1OjoBaxYvPKtzuirCbts3x,28,0.653,0.797,362667,0.297,0.902,A,0.106,-11.122,0,0.0533,92.002,4/4,0.232,,
Electronic,Nicolas Jaar,Too Many Kids Finding Rain In the Dust,2JM9NZGjOOaX83dK8H0nzQ,40,0.872,0.741,208425,0.203,0.604,E,0.266,-16.849,0,0.0469,110.023,4/4,0.282,,
Electronic,Stavroz,Should've Brought an Umbrella,6MDdQPkqN2K9xOyccN6Oj9,45,0.503,0.881,435042,0.317,0.886,D,0.126,-12.18,0,0.0456,115.992,4/4,0.0999,,
Electronic,Moderat,Eating Hooks,7LY9Cu8MurUfTQ07dvJd8w,31,0.439,0.729,271969,0.282,0.423,C,0.151,-12.079,0,0.0398,124.014,4/4,0.128,,
Electronic,Kerala Dust,Medea,0t5vqlqckfz7j27aL4Hz1c,44,0.591,0.826,308728,0.303,0.496,F#,0.152,-15.485,0,0.0603,108.016,4/4,0.035,,
Electronic,Zero 7,Left Behind,5H5cNU45KyPXMlrxTMj2XM,38,0.875,0.552,79813,0.346,0.485,F,0.117,-13.672,0,0.0617,119.168,3/4,0.342,,
Electronic,Francis Lai,Theme From Love Story,5qjVtEglMJOGe3xCCbjN25,40,0.956,0.296,200267,0.11,0.918,A,0.146,-20.613,0,0.0306,70.67,4/4,0.182,,
Electronic,Boards of Canada,In A Beautiful Place Out In The Country,1ilA1w8ewwREeAEHY2rqKa,39,0.44,0.636,367480,0.253,0.873,G,0.0866,-14.707,0,0.0385,98.541,4/4,0.0427,,
Electronic,Moby,Swear,70JqJurwRmsMlnIfs70vP0,26,0.612,0.536,400333,0.323,0.907,E,0.105,-20.38,0,0.0639,122.042,4/4,0.0768,,
Electronic,FEATHERED SUN,Miraflores,2dHP9EkRq46gBdMjbgcRLj,38,0.837,0.689,332770,0.286,0.715,B,0.0767,-13.405,0,0.0601,154.022,4/4,0.139,,
Alternative,Sonder,Baldwin Park,2fadrikKAPlypHJWhvv8CM,40,0.626,0.725,95108,0.297,0.777,F,0.191,-11.694,0,0.05,125.008,3/4,0.391,,
