genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,cluster,closest_mood
Movie,Justin Hurwitz,"Rialto - From ""La La Land"" Score",2BcLdx9G6GF32IWlvb1UGa,3,0.967,0.55,28027,0.0148,0.0608,G#,0.0793,-22.731,1,0.0492,74.756,1/4,0.592,,
Movie,Frank Churchill,"Chorale for Snow White - From ""Snow White and the Seven Dwarfs""/Score",4LY0T9z0Nm1fZZrbBJX0pj,1,0.463,0.188,67427,0.00154,0.881,D,0.11,-25.274,1,0.0473,65.472,3/4,0.539,,
Movie,Leopold Stokowski,Rimsky-Korsakov: Flight of the Bumblebee - Leopold Stokowksi Transcriptions,6xzgUl9pbjrMOk8lfqjTQ8,0,0.945,0.44,82173,0.365,0.664,F,0.463,-12.671,1,0.0325,86.79,4/4,0.583,,
Movie,Frank Churchill,The Silly Song,7tBFyP3T22UEak2fKiUx6o,0,0.995,0.6,26044,0.23,0.954,C,0.116,-23.963,1,0.118,99.161,4/4,0.575,,
Movie,Oliver Wallace,Alice in Wonderland: Theme,0Fe6pbDEIY2jnhPd8jbQ3B,0,0.989,0.503,160187,0.0341,0.809,G,0.087,-17.101,1,0.0674,86.537,4/4,0.712,,
Movie,Richard M. Sherman,Caprice,0kPobqZpi2ugviyclgypBM,0,0.987,0.395,177693,0.29,0.899,F#,0.115,-11.23,1,0.0484,82.285,4/4,0.469,,
Movie,Anika Noni Rose,Down in New Orleans (Prologue),40AWJCVn5wRKdgJ3L2y8wj,0,0.988,0.352,27733,0.0886,0.207,G,0.165,-10.681,1,0.0321,98.106,5/4,0.53,,
Alternative,ODIE,North Face,63bAGRSSX2V1hhPSP2NpBC,59,0.792,0.802,196800,0.382,0.163,A#,0.0783,-7.356,1,0.0312,99.969,4/4,0.581,,
Country,Old & In The Way,Wild Horses,4xMmjrefx4NlEOHfGu3EQf,49,0.646,0.45,278533,0.313,0.24,A,0.441,-15.786,1,0.0309,100.299,4/4,0.547,,
Alternative,Dr. Dog,Heart It Races - Dr Dog Version,2vupkXhwL4sNCRgNu72HCZ,61,0.443,0.705,233128,0.474,0.0553,A#,0.338,-13.081,1,0.0391,98.612,4/4,0.756,,
Country,Don Williams,Some Broken Hearts Never Mend - Single Version,6OREPdoHWU3IehSiZA6rcw,40,0.314,0.638,168360,0.447,0.1,A,0.0727,-16.228,1,0.0276,97.534,4/4,0.81,,
Country,Jerry Garcia,Shady Grove,1gCE4LxErCB25MSERdLCZX,48,0.924,0.706,259533,0.378,0.0738,G,0.0931,-15.293,1,0.0379,106.123,4/4,0.955,,
Country,Waylon Jennings,Old Five and Dimers (Like Me),2kaBq9EUrUtR1KHoaJZ4md,39,0.722,0.651,186467,0.214,0.0533,A,0.0958,-15.843,1,0.0283,82.598,4/4,0.496,,
Alternative,The Internet,Hold On,5tqZJUHEuqdN12RZVq2l9p,54,0.849,0.7,406467,0.414,0.0606,C,0.107,-10.864,1,0.0373,60.479,4/4,0.444,,
Alternative,Jakob Ogawa,All I Wanna Do,0SYu7wDS7dJSnuyn5GEDpp,51,0.525,0.84,127922,0.439,0.182,G#,0.112,-12.436,1,0.121,98.083,4/4,0.706,,
Alternative,Four Tet,Two Thousand and Seventeen,2ZIaH69kaz55RM4Pjx6KXl,60,0.327,0.551,252256,0.469,0.161,D,0.0939,-8.393,1,0.0296,75.495,4/4,0.498,,
Alternative,Flying Lotus,FF4,4yHLejQxBnufgbFPALQkK3,57,0.442,0.607,71520,0.184,0.937,F#,0.117,-7.69,1,0.102,81.245,4/4,0.475,,
Alternative,DRAMA,Low Tide,12VPr7FUnYrSB3GX77ymJm,56,0.709,0.77,228224,0.454,0.0708,G,0.164,-9.517,1,0.0287,107.024,4/4,0.493,,
Alternative,Myles Cameron,Caged Bird,3MPcfaxPTQPR3w58qaODvX,48,0.768,0.575,235200,0.352,0.485,C#,0.0974,-13.813,1,0.0388,100.023,4/4,0.447,,
Country,Tom T. Hall,I Love,4uZ4gkFvrJFwiMLV3b3ob2,38,0.883,0.544,125667,0.312,0.236,E,0.134,-12.146,1,0.0266,91.974,4/4,0.505,,
Country,Jeffrey Foucault,Pretty Hands,0daO3mhf7lmqH1vNsGEFCJ,43,0.926,0.517,140493,0.131,0.0984,A#,0.151,-18.439,1,0.0344,87.855,4/4,0.419,,
Country,Waylon Jennings,Lovin' Her Was Easier (Than Anything I'll Ever Do Again),7o7hSBAOw7QoP4mwO8QcYB,36,0.654,0.481,182747,0.324,0.23,D,0.348,-15.04,1,0.0357,92.39,4/4,0.768,,
