genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,cluster,closest_mood
Movie,Chorus,I Denne Søte Juletid: Kom La Oss Gå Og Se!,3kO00CU9Y6u8pIbk2Oi2j4,0,0.474,0.524,101000,0.182,0.139,G,0.258,-20.347,1,0.0417,121.235,4/4,0.478,,
Movie,George Bruns,There You Are,76Fy5YGapVZ4fGCbmrUqVT,0,0.814,0.496,22440,0.268,0.8,A#,0.208,-12.714,1,0.0666,120.3,3/4,0.547,,
Country,Little Feat,Dixie Chicken,0eTHlx53lUn95HVsJtR6Qx,55,0.7,0.566,239107,0.669,0.0654,A,0.588,-10.081,1,0.0694,149.702,4/4,0.92,,
Country,Dwight Yoakam,A Thousand Miles from Nowhere,1IsBH1V21snPB5mBs8sqUm,0,0.00973,0.601,268386,0.831,0.163,C,0.321,-5.946,1,0.0283,116.901,4/4,0.707,,
Alternative,MGMT,Electric Feel,3FtYbEfBqAlGO46NUDQSAt,74,0.0714,0.763,229640,0.807,0.28,C#,0.348,-3.714,1,0.035,103.038,3/4,0.559,,
Alternative,Rage Against The Machine,Bulls On Parade,0tZ3mElWcr74OOhKEiNz1x,70,0.0124,0.412,229467,0.919,0.0601,F,0.424,-7.291,1,0.184,166.367,4/4,0.572,,
Alternative,Soundgarden,Spoonman,1jMaB19DiVR8OihLSuYFOt,66,1.9e-05,0.274,246920,0.906,0.257,C,0.273,-5.587,1,0.0404,185.959,3/4,0.783,,
Alternative,Korn,Freak On a Leash,6W21LNLz9Sw7sUSNWMSHRu,69,2.23e-05,0.353,255733,0.898,0.105,D,0.39,-5.877,1,0.052,103.293,4/4,0.525,,
Alternative,Disturbed,Indestructible,42ZVk59gT4tMlrZmd8Ijxf,67,0.000209,0.429,278027,0.966,0.124,G#,0.371,-4.605,1,0.0733,179.956,4/4,0.525,,
Alternative,Nickelback,Burn It to the Ground,1jq28NGw6wdtFKx8MBPy6C,66,0.000247,0.617,212347,0.922,0.388,B,0.363,-3.474,1,0.0744,132.059,4/4,0.6,,
Alternative,STRFKR,Rawnald Gregory Erickson the Second,4j4pPKE3xAblPIbhxScC1j,59,0.229,0.9,173693,0.538,0.843,G,0.287,-7.879,1,0.0343,95.508,4/4,0.713,,
Alternative,Joji,worldstar money (interlude),435yU2MvEGfDdmbH0noWZ0,60,0.964,0.577,126312,0.387,0.706,G,0.208,-8.607,1,0.274,146.565,1/4,0.459,,
Alternative,Poolside,Harvest Moon,35U4PXL3W3XIkAjEUdhr36,63,0.288,0.782,368784,0.622,0.53,D,0.58,-5.832,1,0.0411,106.022,4/4,0.921,,
Alternative,The Black Keys,Go,2GuXIMRlaxVLcU0a5jacHw,64,0.0428,0.478,146597,0.666,0.725,C#,0.336,-7.766,1,0.0566,149.974,4/4,0.718,,
Alternative,The Breeders,Cannonball,2hjGuRIEfEGzQ5MEWLowiU,62,0.00915,0.502,213693,0.758,0.783,D#,0.284,-9.76,1,0.0407,112.508,4/4,0.729,,
Country,Old & In The Way,Wild Horses,4xMmjrefx4NlEOHfGu3EQf,49,0.646,0.45,278533,0.313,0.24,A,0.441,-15.786,1,0.0309,100.299,4/4,0.547,,
Country,Phosphorescent,New Birth in New England,3YOv5LNRVbrmWnVVyk3Flj,57,0.245,0.56,299685,0.959,0.652,F#,0.531,-5.493,1,0.0652,103.006,4/4,0.618,,
Alternative,LCD Soundsystem,oh baby,53PkA8aXiwH4ppa0V0iO7o,59,0.0192,0.58,349693,0.622,0.653,F,0.648,-12.005,1,0.0352,169.442,4/4,0.781,,
Alternative,Still Woozy,Ipanema,6y5CTUxwSD9yM8656nqOEV,55,0.216,0.751,127044,0.473,0.0774,C#,0.267,-11.458,1,0.199,147.437,4/4,0.868,,
