genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,cluster,closest_mood
Movie,Leopold Stokowski,Symphony No.4 In E Minor Op.98 : IV. Allegro Energico E Passionato,0XKgegoxLcIihK3Klpfo3N,0,0.921,0.191,566960,0.145,0.529,E,0.141,-17.239,0,0.0393,85.225,4/4,0.0849,,
Movie,Richard M. Sherman,Forgotten Dreams,3PyfS1XmjHk1JZ004a2bFZ,0,0.987,0.429,89947,0.0478,0.959,E,0.102,-14.17,0,0.0468,82.388,4/4,0.111,,
Movie,Leopold Stokowski,"Symphony No. 6 in B minor, Op. 74 'Pathétique': I Adagio - Allegro non troppo",4etaqrzd6gYTaPna0Z2HFl,0,0.88,0.142,1029560,0.13,0.655,G,0.239,-20.735,1,0.0424,75.531,4/4,0.0759,,
Movie,Leopold Stokowski,Symphony No.1 In C Major : I. Allegro Vivo,4ybCQncLeRtMrPIr8wk6YF,3,0.903,0.394,457747,0.279,0.881,G#,0.0549,-13.649,1,0.0405,77.565,4/4,0.259,,
Movie,Randy Newman,Henry Goes To Work,6QbtNfEpo5ae0pf6NHY9EX,0,0.737,0.382,115133,0.287,0.834,C,0.0644,-15.865,0,0.0456,79.908,4/4,0.157,,
Movie,Randy Newman,"Family Album: Homage to Alfred, Emil and Lionel Newman: I. The Follies: Young and Beautiful",71AdU0KVt1Y8I9JIlA2Bsn,0,0.995,0.512,136120,0.0297,0.881,G#,0.0991,-23.948,1,0.0403,68.5,3/4,0.258,,
Movie,Leopold Stokowski,Tristan und Isolde (Love Music from Acts II & III),73ulytYi8ArzDYj4bjEHwN,0,0.942,0.0883,1563347,0.174,0.944,B,0.0949,-17.02,1,0.0408,85.719,4/4,0.0299,,
Movie,Frank Churchill,"Pleasant Dreams - From ""Snow White and the Seven Dwarfs""/Score",3m1mtP98pp5kETUNeGtBkd,0,0.761,0.251,150027,0.16,0.984,D#,0.0939,-18.699,1,0.0374,89.668,3/4,0.204,,
Movie,Randy Newman,Marty And Henry,5FTYFbO0oPat7YzOJsPzoI,1,0.987,0.33,74773,0.0317,0.949,C,0.129,-22.275,1,0.0333,64.242,4/4,0.0382,,
Movie,Randy Newman,Could You Milk Me? - Meet The Parents/Soundtrack,6VWyteGeKsSFMRHgC4zXJd,2,0.936,0.195,159000,0.034,0.4,G,0.0667,-21.518,0,0.0355,79.897,4/4,0.053,,
A Capella,The Singers Unlimited,The Way We Were,6X128PGN8ZbVubV3nxqhnv,10,0.974,0.209,188653,0.137,0.256,A,0.14,-16.809,0,0.0377,85.845,3/4,0.15,,
Country,Langhorne Slim,Alligator Girl,5cfafhSKBSIXCizRmR4zPp,52,0.948,0.522,239960,0.296,0.619,G,0.105,-10.46,1,0.0302,67.012,4/4,0.399,,
Alternative,Sturgill Simpson,Breakers Roar,7rR5X9RKz5VprclstYOLb5,50,0.669,0.369,212587,0.31,0.514,B,0.245,-13.384,0,0.0309,84.41,4/4,0.165,,
Alternative,ODIE,Little Lies,6QpZXzHcOgXK41Y3YCx203,54,0.593,0.34,220008,0.294,0.68,D,0.0944,-15.989,1,0.0426,83.938,4/4,0.136,,
Country,Waylon Jennings,Amanda,4wX0h5Ywx8oIe94PshTv9o,40,0.737,0.512,179227,0.24,0.651,A,0.106,-17.559,1,0.0329,62.101,3/4,0.175,,
Alternative,Radiohead,Pyramid Song,3A9vIxzGBjEfqmDK7H9exS,57,0.786,0.127,288733,0.335,0.427,B,0.111,-8.298,0,0.0329,77.078,4/4,0.0686,,
Alternative,for KING & COUNTRY,Hold Her,2RxEX1W0GSQRcQEmwut9OA,49,0.71,0.401,252000,0.295,0.882,C,0.0689,-14.297,1,0.0298,79.997,4/4,0.06,,
Country,Jamey Johnson,For The Good Times,4DqjsEKlCIDkL6oYTHLrv7,35,0.589,0.519,241747,0.312,0.177,D,0.128,-11.656,1,0.034,81.051,4/4,0.256,,
Alternative,Mndsgn,Camelblues,6AQobWDXD64OnrlmIeZaja,50,0.947,0.594,152985,0.304,0.198,A,0.0933,-15.353,0,0.029,79.994,4/4,0.13,,
Alternative,for KING & COUNTRY,Need You More,4EI2ZoDrf4ZGlbCOynQyVd,46,0.847,0.597,237073,0.109,0.929,F#,0.197,-19.347,1,0.038,81.992,4/4,0.0365,,
